Name,ProductKey,Description,Picture,Product sections,Type,SubType,hatchingPattern,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath,vyzn.catalogue.lifeCycle
"00.012 Baugrubensicherung, Spundwand, verankert (KBOB.2016)","00.012 Baugrubensicherung, Spundwand, verankert (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,255000.000000,255000.000000,0.000000,55.300000,55.300000,0.000000,813.000000,813.000000,0.000000,181.000000,181.000000,0.000000,m2,area,,00.012,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.013 Tiefgründung, Mikrobohrpfahl (KBOB.2016)","00.013 Tiefgründung, Mikrobohrpfahl (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,48600.000000,48600.000000,0.000000,7.740000,7.740000,0.000000,116.000000,116.000000,0.000000,30.600000,30.600000,0.000000,m,probeLength,,00.013,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.014 Tiefgründung, Ortbetonbohrpfahl, 700 mm (KBOB.2016)","00.014 Tiefgründung, Ortbetonbohrpfahl, 700 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,229000.000000,229000.000000,0.000000,22.400000,22.400000,0.000000,404.000000,404.000000,0.000000,159.000000,159.000000,0.000000,m,probeLength,,00.014,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.015 Tiefgründung, Ortbetonbohrpfahl, 900 mm (KBOB.2016)","00.015 Tiefgründung, Ortbetonbohrpfahl, 900 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,331000.000000,331000.000000,0.000000,35.000000,35.000000,0.000000,566.000000,566.000000,0.000000,239.000000,239.000000,0.000000,m,probeLength,,00.015,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.016 Tiefgründung, Ortbetonbohrpfahl, 1200 mm (KBOB.2016)","00.016 Tiefgründung, Ortbetonbohrpfahl, 1200 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,506000.000000,506000.000000,0.000000,55.600000,55.600000,0.000000,851.000000,851.000000,0.000000,372.000000,372.000000,0.000000,m,probeLength,,00.016,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.017 Tiefgründung, Ortbetonverdrängungspfahl 560/480 mm (KBOB.2016)","00.017 Tiefgründung, Ortbetonverdrängungspfahl 560/480 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,122000.000000,122000.000000,0.000000,9.870000,9.870000,0.000000,226.000000,226.000000,0.000000,72.200000,72.200000,0.000000,m,probeLength,,00.017,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.018 Tiefgründung, Ortbetonverdrängungspfahl 660/580 mm (KBOB.2016)","00.018 Tiefgründung, Ortbetonverdrängungspfahl 660/580 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,152000.000000,152000.000000,0.000000,13.200000,13.200000,0.000000,273.000000,273.000000,0.000000,91.300000,91.300000,0.000000,m,probeLength,,00.018,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.019 Tiefgründung, Rüttelstopfsäule (KBOB.2016)","00.019 Tiefgründung, Rüttelstopfsäule (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,29900.000000,29900.000000,0.000000,1.100000,1.100000,0.000000,30.900000,30.900000,0.000000,6.450000,6.450000,0.000000,m,probeLength,,00.019,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.020 Tiefgründung, Vorgefertigter Betonpfahl (KBOB.2016)","00.020 Tiefgründung, Vorgefertigter Betonpfahl (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,38800.000000,38800.000000,0.000000,4.220000,4.220000,0.000000,66.100000,66.100000,0.000000,28.600000,28.600000,0.000000,m,probeLength,,00.020,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.021 Wasserhaltung, Pumphöhe 2.5 m (KBOB.2016)","00.021 Wasserhaltung, Pumphöhe 2.5 m (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,14.400000,14.400000,0.000000,0.019600,0.019600,0.000000,0.101000,0.101000,0.000000,0.004210,0.004210,0.000000,m3,volume,,00.021,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.022 Wasserhaltung, Pumphöhe 5 m (KBOB.2016)","00.022 Wasserhaltung, Pumphöhe 5 m (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,16.800000,16.800000,0.000000,0.023000,0.023000,0.000000,0.119000,0.119000,0.000000,0.004920,0.004920,0.000000,m3,volume,,00.022,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.023 Wasserhaltung, Pumphöhe 7.5 m (KBOB.2016)","00.023 Wasserhaltung, Pumphöhe 7.5 m (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,19.600000,19.600000,0.000000,0.026800,0.026800,0.000000,0.138000,0.138000,0.000000,0.005710,0.005710,0.000000,m3,volume,,00.023,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.024 Wasserhaltung, Pumphöhe 10 m (KBOB.2016)","00.024 Wasserhaltung, Pumphöhe 10 m (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,22.500000,22.500000,0.000000,0.030900,0.030900,0.000000,0.159000,0.159000,0.000000,0.006560,0.006560,0.000000,m3,volume,,00.024,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
