Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath,vyzn.catalogue.lifeCycle
91.050 Entsorgungsmix Faserplatte mittlerer Dichte (MDF) (KBOB.2016),91.050 Entsorgungsmix Faserplatte mittlerer Dichte (MDF) (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,91,,91,0.00,,0.00,0.06,,0.06,0.13,,0.13,kg,mass,,91.050,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
91.051 Entsorgungsmix Faserplatte weich (KBOB.2016),91.051 Entsorgungsmix Faserplatte weich (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,44,,44,0.00,,0.00,0.04,,0.04,0.04,,0.04,kg,mass,,91.051,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.052 Entsorgungsmix Schnittholz, Laubholz, luft-/kammergetrocknet (KBOB.2016)","91.052 Entsorgungsmix Schnittholz, Laubholz, luft-/kammergetrocknet (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,27,,27,0.00,,0.00,0.03,,0.03,0.01,,0.01,kg,mass,,91.052,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.053 Entsorgungsmix Schnittholz, Laubholz, luftgetrocknet (KBOB.2016)","91.053 Entsorgungsmix Schnittholz, Laubholz, luftgetrocknet (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,25,,25,0.00,,0.00,0.03,,0.03,0.01,,0.01,kg,mass,,91.053,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.054 Entsorgungsmix Schnittholz, Nadelholz, kammergetrocknet (KBOB.2016)","91.054 Entsorgungsmix Schnittholz, Nadelholz, kammergetrocknet (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,27,,27,0.00,,0.00,0.03,,0.03,0.01,,0.01,kg,mass,,91.054,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.054.01 Entsorgungsmix Schnittholz, Nadelholz, kammergetrocknet, holzpur (KBOB.2016)","91.054.01 Entsorgungsmix Schnittholz, Nadelholz, kammergetrocknet, holzpur (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,27,,27,0.00,,0.00,0.03,,0.03,0.01,,0.01,kg,mass,,91.054,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.055 Entsorgungsmix Schnittholz, Nadelholz, luftgetrocknet (KBOB.2016)","91.055 Entsorgungsmix Schnittholz, Nadelholz, luftgetrocknet (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,25,,25,0.00,,0.00,0.03,,0.03,0.01,,0.01,kg,mass,,91.055,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.056 Entsorgungsmix Spanplatte, Aussenanwendung (KBOB.2016)","91.056 Entsorgungsmix Spanplatte, Aussenanwendung (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,91,,91,0.00,,0.00,0.06,,0.06,0.13,,0.13,kg,mass,,91.056,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.057 Entsorgungsmix Spanplatte, Innenanwendung (KBOB.2016)","91.057 Entsorgungsmix Spanplatte, Innenanwendung (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,91,,91,0.00,,0.00,0.06,,0.06,0.13,,0.13,kg,mass,,91.057,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.058 Entsorgungsmix Sperrholz, Aussenanwendung (KBOB.2016)","91.058 Entsorgungsmix Sperrholz, Aussenanwendung (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,80,,80,0.00,,0.00,0.05,,0.05,0.11,,0.11,kg,mass,,91.058,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.059 Entsorgungsmix, Backstein (KBOB.2016)","91.059 Entsorgungsmix, Backstein (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,26,,26,0.00,,0.00,0.05,,0.05,0.01,,0.01,kg,mass,,91.059,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.060 Entsorgungsmix, Beton bewehrt (KBOB.2016)","91.060 Entsorgungsmix, Beton bewehrt (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,27,,27,0.00,,0.00,0.05,,0.05,0.01,,0.01,kg,mass,,91.060,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.061 Entsorgungsmix, Beton unbewehrt (KBOB.2016)","91.061 Entsorgungsmix, Beton unbewehrt (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,25,,25,0.00,,0.00,0.05,,0.05,0.01,,0.01,kg,mass,,91.061,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.062 Entsorgungsmix, Betonkies (KBOB.2016)","91.062 Entsorgungsmix, Betonkies (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,25,,25,0.00,,0.00,0.05,,0.05,0.01,,0.01,kg,mass,,91.062,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.063 Entsorgungsmix, Gipsfaserplatte (KBOB.2016)","91.063 Entsorgungsmix, Gipsfaserplatte (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,18,,18,0.00,,0.00,0.07,,0.07,0.01,,0.01,kg,mass,,91.063,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.064 Entsorgungsmix, Gipskartonplatte (KBOB.2016)","91.064 Entsorgungsmix, Gipskartonplatte (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,17,,17,0.00,,0.00,0.06,,0.06,0.01,,0.01,kg,mass,,91.064,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.065 Entsorgungsmix, Kalksandstein (KBOB.2016)","91.065 Entsorgungsmix, Kalksandstein (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,25,,25,0.00,,0.00,0.05,,0.05,0.01,,0.01,kg,mass,,91.065,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.066 Entsorgungsmix, Kunststoffputz (KBOB.2016)","91.066 Entsorgungsmix, Kunststoffputz (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,20,,20,0.00,,0.00,0.03,,0.03,0.00,,0.00,kg,mass,,91.066,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.067 Entsorgungsmix, Mineralischer Putz (KBOB.2016)","91.067 Entsorgungsmix, Mineralischer Putz (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,19,,19,0.00,,0.00,0.03,,0.03,0.00,,0.00,kg,mass,,91.067,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.068 Entsorgungsmix, Sand (KBOB.2016)","91.068 Entsorgungsmix, Sand (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,30,,30,0.00,,0.00,0.06,,0.06,0.01,,0.01,kg,mass,,91.068,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.069 Entsorgungsmix, Gips-Wandbauplatte / Vollgipsplatte (KBOB.2016)","91.069 Entsorgungsmix, Gips-Wandbauplatte / Vollgipsplatte (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,17,,17,0.00,,0.00,0.06,,0.06,0.01,,0.01,kg,mass,,91.069,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.070 Entsorgungsmix, Zement (in Beton) und Mauermörtel (KBOB.2016)","91.070 Entsorgungsmix, Zement (in Beton) und Mauermörtel (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,27,,27,0.00,,0.00,0.05,,0.05,0.01,,0.01,kg,mass,,91.070,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.073 Entsorgungsmix, Hanfbeton (KBOB.2016)","91.073 Entsorgungsmix, Hanfbeton (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,1,,1,0.00,,0.00,0.00,,0.00,0.00,,0.00,kg,mass,,91.073,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.074 Entsorgung, Baugrubensicherung, Bohrpfahlwand, gespriesst (KBOB.2016)","91.074 Entsorgung, Baugrubensicherung, Bohrpfahlwand, gespriesst (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,130000,,130000,9.57,,9.57,258.00,,258.00,50.20,,50.20,m2,area,,91.074,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.075 Entsorgung, Baugrubensicherung, Bohrpfahlwand, unverankert (KBOB.2016)","91.075 Entsorgung, Baugrubensicherung, Bohrpfahlwand, unverankert (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,130000,,130000,9.57,,9.57,258.00,,258.00,50.20,,50.20,m2,area,,91.075,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.076 Entsorgung, Baugrubensicherung, Bohrpfahlwand, verankert (KBOB.2016)","91.076 Entsorgung, Baugrubensicherung, Bohrpfahlwand, verankert (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,86200,,86200,6.32,,6.32,170.00,,170.00,33.10,,33.10,m2,area,,91.076,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.077 Entsorgung, Baugrubensicherung, Nagelwand (KBOB.2016)","91.077 Entsorgung, Baugrubensicherung, Nagelwand (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,18900,,18900,1.39,,1.39,37.50,,37.50,7.28,,7.28,m2,area,,91.077,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.078 Entsorgung, Baugrubensicherung, Rühlwand, auskragend (KBOB.2016)","91.078 Entsorgung, Baugrubensicherung, Rühlwand, auskragend (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,30100,,30100,2.20,,2.20,59.50,,59.50,11.60,,11.60,m2,area,,91.078,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.079 Entsorgung, Baugrubensicherung, Rühlwand, gespriesst (KBOB.2016)","91.079 Entsorgung, Baugrubensicherung, Rühlwand, gespriesst (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,17800,,17800,1.31,,1.31,35.20,,35.20,6.84,,6.84,m2,area,,91.079,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.080 Entsorgung, Baugrubensicherung, Rühlwand, verankert (KBOB.2016)","91.080 Entsorgung, Baugrubensicherung, Rühlwand, verankert (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,20600,,20600,1.51,,1.51,40.70,,40.70,7.90,,7.90,m2,area,,91.080,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.081 Entsorgung, Baugrubensicherung, Schlitzwand, 400 mm (KBOB.2016)","91.081 Entsorgung, Baugrubensicherung, Schlitzwand, 400 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,65500,,65500,4.76,,4.76,130.00,,130.00,25.20,,25.20,m2,area,,91.081,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.082 Entsorgung, Baugrubensicherung, Schlitzwand, 800 mm (KBOB.2016)","91.082 Entsorgung, Baugrubensicherung, Schlitzwand, 800 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,129000,,129000,9.43,,9.43,256.00,,256.00,49.60,,49.60,m2,area,,91.082,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.083 Entsorgung, Baugrubensicherung, Spundwand, auskragend (KBOB.2016)","91.083 Entsorgung, Baugrubensicherung, Spundwand, auskragend (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,0,,0,0.00,,0.00,0.00,,0.00,0.00,,0.00,m2,area,,91.083,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.084 Entsorgung, Baugrubensicherung, Spundwand, gespriesst (KBOB.2016)","91.084 Entsorgung, Baugrubensicherung, Spundwand, gespriesst (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,0,,0,0.00,,0.00,0.00,,0.00,0.00,,0.00,m2,area,,91.084,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.085 Entsorgung, Baugrubensicherung, Spundwand, verankert (KBOB.2016)","91.085 Entsorgung, Baugrubensicherung, Spundwand, verankert (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,0,,0,0.00,,0.00,0.00,,0.00,0.00,,0.00,m2,area,,91.085,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.086 Entsorgung, Tiefgründung, Mikrobohrpfahl (KBOB.2016)","91.086 Entsorgung, Tiefgründung, Mikrobohrpfahl (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,0,,0,0.00,,0.00,0.00,,0.00,0.00,,0.00,m,probeLength,,91.086,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.087 Entsorgung, Tiefgründung, Ortbetonbohrpfahl, 700 mm (KBOB.2016)","91.087 Entsorgung, Tiefgründung, Ortbetonbohrpfahl, 700 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,0,,0,0.00,,0.00,0.00,,0.00,0.00,,0.00,m,probeLength,,91.087,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.088 Entsorgung, Tiefgründung, Ortbetonbohrpfahl, 900 mm (KBOB.2016)","91.088 Entsorgung, Tiefgründung, Ortbetonbohrpfahl, 900 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,0,,0,0.00,,0.00,0.00,,0.00,0.00,,0.00,m,probeLength,,91.088,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.089 Entsorgung, Tiefgründung, Ortbetonbohrpfahl, 1200 mm (KBOB.2016)","91.089 Entsorgung, Tiefgründung, Ortbetonbohrpfahl, 1200 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,0,,0,0.00,,0.00,0.00,,0.00,0.00,,0.00,m,probeLength,,91.089,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.090 Entsorgung, Tiefgründung, Ortbetonverdrängungspfahl 560/480 mm (KBOB.2016)","91.090 Entsorgung, Tiefgründung, Ortbetonverdrängungspfahl 560/480 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,0,,0,0.00,,0.00,0.00,,0.00,0.00,,0.00,m,probeLength,,91.090,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
