Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
31.018 Sole-Wasser Wärmepumpe 7 kW,31.018 Sole-Wasser Wärmepumpe 7 kW,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,29700,26600,3080,3.09,3.07,0.0193,28.2,28,0.221,15.2,12.2,2.99,kg,energyReferenceAreae,,EE463E2C-FAD4-4183-BBDF-A8E1FA456B32,KBOB 2022 V4
31.019 Luft-Wasser Wärmepumpe 7 kW,31.019 Luft-Wasser Wärmepumpe 7 kW,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,7440000,6590000,845000,1010,1000,4.96,7130,7070,57.2,4000,3180,824,Stk.,device,,DEED59B5-BB81-4104-9BAE-D78266DC439E,KBOB 2022 V4
31.020 Luft-Wasser Wärmepumpe 7 kW,31.020 Luft-Wasser Wärmepumpe 7 kW,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,29100,25800,3300,3.94,3.92,0.0194,27.8,27.6,0.224,15.6,12.4,3.22,kg,energyReferenceAreae,,13247483-F3F9-449C-87D0-6B956AB03E50,KBOB 2022 V4
31.007 Flachkollektor für Warmwasser EFH,31.007 Flachkollektor für Warmwasser EFH,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,687000,687000,,146,146,,1070,1070,,289,289,,m2,collectorArea,,26ED1BEC-5B9B-4820-8481-A544231F80EE,KBOB 2022 V4
31.008 Flachkollektor für Raumheizung und Warmwasser EFH,31.008 Flachkollektor für Raumheizung und Warmwasser EFH,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,482000,482000,,105,105,,782,782,,204,204,,m2,collectorArea,,4EACB020-C81C-482A-8817-F3DE92E1F6D6,KBOB 2022 V4
31.009 Flachkollektor für Warmwasser MFH,31.009 Flachkollektor für Warmwasser MFH,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,411000,411000,,81.4,81.4,,667,667,,168,168,,m2,collectorArea,,4FE800F8-909C-4102-9E3F-525A7AD89DCE,KBOB 2022 V4
31.010 Röhrenkollektor für Raumheizung und Warmwasser EFH,31.010 Röhrenkollektor für Raumheizung und Warmwasser EFH,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,492000,492000,,102,102,,884,884,,230,230,,m2,collectorArea,,85D42D88-963C-488B-B94E-C9FD0985CF27,KBOB 2022 V4
31.028 Hybridkollektor Schrägdach mit Erdsondenregeneration,31.028 Hybridkollektor Schrägdach mit Erdsondenregeneration,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,715000,715000,,152,152,,1300,1300,,343,343,,m2,collectorArea,,3058E4BA-F5B1-42AF-8905-745801085D2B,KBOB 2022 V4
31.029 Hybridkollektor Schrägdach mit Warmwasserspeicher,31.029 Hybridkollektor Schrägdach mit Warmwasserspeicher,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,769000,769000,,167,167,,1380,1380,,369,369,,m2,collectorArea,,50066F27-9A16-4226-9BD9-6C53C61B330B,KBOB 2022 V4
"32.011 Lüftungsanlage, spez. Luftmenge 1 m3/hm2 EBF","32.011 Lüftungsanlage, spez. Luftmenge 1 m3/hm2 EBF",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,,34200,33600,591,4.43,4.42,0.00953,50.5,50.3,0.144,15,14.6,0.338,m2,energyReferenceArea,,A05F4D90-D030-49B6-A08A-BAD5228E3552,KBOB 2022 V4
"32.005 Lüftungsanlage, spez. Luftmenge 2 m3/hm2 EBF","32.005 Lüftungsanlage, spez. Luftmenge 2 m3/hm2 EBF",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,,46100,45200,828,5.95,5.94,0.013,68.2,68,0.198,20.2,19.7,0.475,m2,energyReferenceArea,,E13EE05E-FD34-4FB5-A178-0FC4164A96F2,KBOB 2022 V4
"32.006 Lüftungsanlage, spez. Luftmenge 4 m3/hm2 EBF","32.006 Lüftungsanlage, spez. Luftmenge 4 m3/hm2 EBF",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,,69800,68500,1300,9,8.98,0.0198,104,103,0.306,30.6,29.8,0.748,m2,energyReferenceArea,,6704A56E-25F3-4DD0-8890-EC2E2A0D4B9C,KBOB 2022 V4
"32.007 Lüftungsanlage, spez. Luftmenge 6 m3/hm2 EBF","32.007 Lüftungsanlage, spez. Luftmenge 6 m3/hm2 EBF",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,,93600,91900,1770,12,12,0.0267,139,139,0.414,41,39.9,1.02,m2,energyReferenceArea,,4EBAA5FE-7F18-443E-A05A-08185A6165D0,KBOB 2022 V4
"32.012 Lüftungsanlage, spez. Luftmenge 8 m3/hm2 EBF","32.012 Lüftungsanlage, spez. Luftmenge 8 m3/hm2 EBF",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,,117000,115000,2250,15.1,15.1,0.0335,174,174,0.522,51.4,50.1,1.29,m2,energyReferenceArea,,3A51918F-AB60-4CE7-A771-A10C3266684A,KBOB 2022 V4
"32.001 Lüftungsanlage Wohnen, Blechkanäle, inkl. Küchenabluft","32.001 Lüftungsanlage Wohnen, Blechkanäle, inkl. Küchenabluft",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,,41400,41000,361,4.18,4.18,0.00538,49.7,49.6,0.0674,14.1,13.8,0.298,m2,energyReferenceArea,,F6DCDEFA-AFE6-44CB-8B68-3527ABFDC011,KBOB 2022 V4
"32.002 Lüftungsanlage Wohnen, PE-Kanäle, inkl. Küchenabluft","32.002 Lüftungsanlage Wohnen, PE-Kanäle, inkl. Küchenabluft",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,,21300,20600,781,2.47,2.47,0.00336,30.7,30.6,0.0619,8.25,7.53,0.723,m2,energyReferenceArea,,DD16B81F-E498-48D6-9754-A1E95558BFFE,KBOB 2022 V4
32.003 Abluftanlage Küche und Bad,32.003 Abluftanlage Küche und Bad,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,,11500,11300,175,1.15,1.15,0.000259,13.8,13.7,0.00793,3.64,3.52,0.125,m2,energyReferenceArea,,b05c4b9b-b749-4f50-a92b-98713a494220,KBOB 2022 V4
32.004 Erdregister zu Lüftungsanlage Wohnen,32.004 Erdregister zu Lüftungsanlage Wohnen,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,,6870,4590,2280,0.598,0.527,0.0709,15.3,14.2,1.06,4.43,2.81,1.62,m2,energyReferenceArea,,958BA083-03C8-4336-BFC5-0DB5B6BC1B43,KBOB 2022 V4
32.008 Erdregister kurz zu Lüftungsanlage Büro (0.27 m/m2 EBF),32.008 Erdregister kurz zu Lüftungsanlage Büro (0.27 m/m2 EBF),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,,11900,7950,3950,1.04,0.914,0.123,26.5,24.7,1.84,7.67,4.87,2.81,m2,energyReferenceArea,,555E9A89-95DF-4C98-BC55-879B4C7E4BFE,KBOB 2022 V4
32.009 Erdregister lang zu Lüftungsanlage Büro (0.67 m/m2 EBF),32.009 Erdregister lang zu Lüftungsanlage Büro (0.67 m/m2 EBF),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,,29800,19900,9880,2.59,2.29,0.307,66.2,61.6,4.59,19.2,12.2,7.02,m2,energyReferenceArea,,17BF48A3-72AD-4EBB-A2DE-3256129F7031,KBOB 2022 V4
"32.010 Einzelraumlüfer Fenstermodell 10-30 m3/h, ohne Montage","32.010 Einzelraumlüfer Fenstermodell 10-30 m3/h, ohne Montage",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_VENTILATION,,84200,78000,6130,106,106,0.0762,214,213,1.33,43.7,38.2,5.48,Stk.,device,,564C9F25-EE8A-4799-A049-6D26DF586F05,KBOB 2022 V4
"33.001 Sanitäranlagen, Büro, einfach, inkl. Apparate und Leitungen","33.001 Sanitäranlagen, Büro, einfach, inkl. Apparate und Leitungen",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_SANITARY,,8490,7280,1200,1.19,1.18,0.0065,19.1,18.9,0.115,4.73,3.58,1.15,m2,energyReferenceArea,,45766F6B-BC17-4725-B939-23AA76838736,KBOB 2022 V4
"33.002 Sanitäranlagen, Büro, aufwändig, inkl. Apparate und Leitungen","33.002 Sanitäranlagen, Büro, aufwändig, inkl. Apparate und Leitungen",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_SANITARY,,21000,17000,3950,3.32,3.3,0.0202,45.6,45.1,0.427,12.3,8.52,3.76,m2,energyReferenceArea,,2DEEC4B0-D3FE-4124-A08A-0DD398A65220,KBOB 2022 V4
"33.003 Sanitäranlagen, Wohnen, inkl. Apparate und Leitungen","33.003 Sanitäranlagen, Wohnen, inkl. Apparate und Leitungen",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_SANITARY,,26300,24700,1670,3.9,3.88,0.0229,46.1,45.8,0.283,12.5,11,1.54,m2,energyReferenceArea,,27B5089E-6003-4920-991A-0BCC005B9434,KBOB 2022 V4
34.001 Elektroanlagen Wohnen,34.001 Elektroanlagen Wohnen,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,37000,33400,3630,4.68,4.62,0.0605,53.9,53.2,0.718,13,9.53,3.42,m2,energyReferenceArea,,69524911-E277-4B29-827D-B8475E4D8C23,KBOB 2022 V4
34.002 Elektroanlagen Büro,34.002 Elektroanlagen Büro,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,83100,81500,1660,76.9,76.8,0.0519,106,105,0.81,24.1,22.6,1.47,m2,energyReferenceArea,,288A84C2-129A-431D-B135-7F7A3F9D0CBD,KBOB 2022 V4
34.024 Solarstromanlage1,34.024 Solarstromanlage1,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,,2230000,2230000,,416,416,,3820,3820,,1070,1070,,kWp,maxPower,,276ac558-09e7-4a6d-b6d8-5643d08bcf9b,KBOB 2022 V4
