Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.ch.minergie.eco.MepClassification,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath,vyzn.catalogue.lifeCycle
"34.024 Solarstromanlage, Marktmix 1 (KBOB.2022v5)","34.024 Solarstromanlage, Marktmix 1 (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,2240000.000000,2240000.000000,,421.000000,421.000000,,3820.000000,3820.000000,,1070.000000,1070.000000,,kWp,maxPower,0,529fcea4-b0c4-46e3-b9c0-9a70f9a91668,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.025 Solarstromanlage Schrägdach, Marktmix 1 (KBOB.2022v5)","34.025 Solarstromanlage Schrägdach, Marktmix 1 (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,2090000.000000,2090000.000000,,396.000000,396.000000,,3570.000000,3570.000000,,1000.000000,1000.000000,,kWp,maxPower,0,7ce8ec83-ed7b-4e84-8359-546c96d7de8b,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.026 Solarstromanlage Flachdach, Marktmix 1 (KBOB.2022v5)","34.026 Solarstromanlage Flachdach, Marktmix 1 (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,2370000.000000,2370000.000000,,444.000000,444.000000,,4060.000000,4060.000000,,1140.000000,1140.000000,,kWp,maxPower,0,1862d29b-d6a4-45a8-9cd6-5539444be95b,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.027 Solarstromanlage Fassade, Marktmix 1 (KBOB.2022v5)","34.027 Solarstromanlage Fassade, Marktmix 1 (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,2890000.000000,2890000.000000,,497.000000,497.000000,,4430.000000,4430.000000,,1220.000000,1220.000000,,kWp,maxPower,0,6dc4866a-596d-4eee-abce-a2b6df8ae356,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.027.01 Fassadenunterkonstruktion, integriert, Eternit (KBOB.2022v5)","34.027.01 Fassadenunterkonstruktion, integriert, Eternit (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,5860.000000,5810.000000,44.000000,4.160000,4.160000,0.000099,11.900000,11.900000,0.003000,2.690000,2.650000,0.042200,m2,panelArea,0,2dcad0f9-eb56-488f-b3f6-4caf54cd1690,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.027.02 Fassadenunterkonstruktion, integriert, StoVentec Artline inlay (KBOB.2022v5)","34.027.02 Fassadenunterkonstruktion, integriert, StoVentec Artline inlay (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,60300.000000,60200.000000,99.700000,21.100000,21.100000,0.000223,121.000000,121.000000,0.006800,28.500000,28.400000,0.095600,m2,panelArea,0,212aabea-485c-4b9d-a6d8-fa1dcce62283,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.027.03 Fassadenunterkonstruktion, integriert, StoVentec Artline invisible (KBOB.2022v5)","34.027.03 Fassadenunterkonstruktion, integriert, StoVentec Artline invisible (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,83600.000000,83500.000000,99.700000,31.800000,31.800000,0.000223,167.000000,167.000000,0.006800,39.100000,39.000000,0.095600,m2,panelArea,0,cb5bf91e-0849-48bd-9f26-0b2ec1979a9d,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.027.04 Fassadenunterkonstruktion, integriert, mittelformatig, GFT (KBOB.2022v5)","34.027.04 Fassadenunterkonstruktion, integriert, mittelformatig, GFT (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,85400.000000,84100.000000,1270.000000,33.300000,33.300000,0.003690,184.000000,184.000000,0.094800,42.100000,40.900000,1.220000,m2,panelArea,0,50a78e02-3974-4a45-9657-e971378f4341,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.027.05 Fassadenunterkonstruktion, integriert, Vogelsang (KBOB.2022v5)","34.027.05 Fassadenunterkonstruktion, integriert, Vogelsang (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,32500.000000,31900.000000,586.000000,79.600000,79.600000,0.001310,53.500000,53.500000,0.040000,14.500000,13.900000,0.563000,m2,panelArea,0,1d794910-c5d8-4adb-ae45-1d2a9a0c406e,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.027.06 Fassadenunterkonstruktion, integriert, Betonuntergrund, Ecolite (KBOB.2022v5)","34.027.06 Fassadenunterkonstruktion, integriert, Betonuntergrund, Ecolite (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,99800.000000,98600.000000,1200.000000,38.600000,38.600000,0.002690,222.000000,222.000000,0.082000,50.100000,49.000000,1.150000,m2,panelArea,0,bdd63033-73b0-49e3-9696-8ab0483baa31,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.027.07 Fassadenunterkonstruktion, integriert, Backsteinuntergrund, Ecolite (KBOB.2022v5)","34.027.07 Fassadenunterkonstruktion, integriert, Backsteinuntergrund, Ecolite (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,117000.000000,116000.000000,1790.000000,44.500000,44.500000,0.004010,261.000000,261.000000,0.122000,59.400000,57.700000,1.720000,m2,panelArea,0,1d856ced-181d-4501-82b1-a311f820415b,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.027.08 Fassadenunterkonstruktion, integriert, Durchschnitt, Ecolite (KBOB.2022v5)","34.027.08 Fassadenunterkonstruktion, integriert, Durchschnitt, Ecolite (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,110000.000000,109000.000000,1550.000000,42.100000,42.100000,0.003480,245.000000,245.000000,0.106000,55.700000,54.200000,1.490000,m2,panelArea,0,3872a48b-1d54-483a-9514-1202ae6a0ce8,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.027.09 Solarpanel, Mono-Si, Eternit Sunskin Facade, 18.0% (KBOB.2022v5)","34.027.09 Solarpanel, Mono-Si, Eternit Sunskin Facade, 18.0% (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,242000.000000,234000.000000,7400.000000,44.500000,43.900000,0.564000,467.000000,458.000000,8.310000,132.000000,126.000000,5.390000,m2,panelArea,0,1bed54c2-bd25-4a8c-92b6-048efef0f144,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.027.10 Solarpanel, Mono-Si, Kioto Solar PVP-GExxxM, 12.5% (KBOB.2022v5)","34.027.10 Solarpanel, Mono-Si, Kioto Solar PVP-GExxxM, 12.5% (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,243000.000000,235000.000000,7870.000000,44.700000,44.100000,0.599000,468.000000,459.000000,8.840000,133.000000,127.000000,5.730000,m2,panelArea,0,8442cb56-9009-4302-aa74-3af8caba21e0,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.027.11 Solarpanel, Mono-Si, Vogelsang-Kioto Solar, 9.1% (KBOB.2022v5)","34.027.11 Solarpanel, Mono-Si, Vogelsang-Kioto Solar, 9.1% (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,243000.000000,235000.000000,8050.000000,45.100000,44.500000,0.613000,471.000000,462.000000,9.040000,134.000000,128.000000,5.860000,m2,panelArea,0,ad2734dc-12ca-4f65-ae79-89b2021d4698,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.027.12 Solarpanel, CIS, StoVentec Artline inlay, 9.5% (KBOB.2022v5)","34.027.12 Solarpanel, CIS, StoVentec Artline inlay, 9.5% (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,182000.000000,171000.000000,11100.000000,40.000000,38.500000,1.550000,418.000000,391.000000,26.900000,102.000000,96.200000,6.080000,m2,panelArea,0,f29fef62-5f16-4bec-8ba2-45a0db80cbda,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.027.13 Solarpanel, CIS, StoVentec Artline invisible, 9.5% (KBOB.2022v5)","34.027.13 Solarpanel, CIS, StoVentec Artline invisible, 9.5% (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,147000.000000,137000.000000,10000.000000,26.600000,25.200000,1.400000,364.000000,340.000000,24.300000,85.900000,80.400000,5.490000,m2,panelArea,0,7d017958-0383-4f59-8277-5c33c96718f5,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.028 Solarstromanlage Schrägdach, Kleinanlage, Mono-Si 1 (KBOB.2022v5)","34.028 Solarstromanlage Schrägdach, Kleinanlage, Mono-Si 1 (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,2940000.000000,2940000.000000,,512.000000,512.000000,,4530.000000,4530.000000,,1260.000000,1260.000000,,kWp,maxPower,0,11bfcb57-c662-45d7-a709-87edf595669e,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.029 Solarstromanlage Schrägdach, Kleinanlage, Multi-Si 1 (KBOB.2022v5)","34.029 Solarstromanlage Schrägdach, Kleinanlage, Multi-Si 1 (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,2980000.000000,2980000.000000,,530.000000,530.000000,,4560.000000,4560.000000,,1250.000000,1250.000000,,kWp,maxPower,0,b833386b-d841-47fa-a201-773218827017,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.030 Solarstromanlage Schrägdach, Kleinanlage, CdTe 1 (KBOB.2022v5)","34.030 Solarstromanlage Schrägdach, Kleinanlage, CdTe 1 (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,2050000.000000,2050000.000000,,325.000000,325.000000,,3250.000000,3250.000000,,793.000000,793.000000,,kWp,maxPower,0,7d49c45f-4c6f-4cdc-8a8a-ff6d76bc1567,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.031 Solarstromanlage Schrägdach, Kleinanlage, CIS 1 (KBOB.2022v5)","34.031 Solarstromanlage Schrägdach, Kleinanlage, CIS 1 (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,2590000.000000,2590000.000000,,514.000000,514.000000,,4610.000000,4610.000000,,1080.000000,1080.000000,,kWp,maxPower,0,0e201389-8d05-4794-8197-d6e8f9633e49,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
34.032 Wechselrichter 2.5 kW1 (KBOB.2022v5),34.032 Wechselrichter 2.5 kW1 (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,534000.000000,534000.000000,,65.100000,65.100000,,622.000000,622.000000,,144.000000,144.000000,,kWp,maxPower,0,5877239a-cf84-4ac2-8acb-829cb4252185,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
34.033 Wechselrichter 5 kW1 (KBOB.2022v5),34.033 Wechselrichter 5 kW1 (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,428000.000000,428000.000000,,52.100000,52.100000,,498.000000,498.000000,,115.000000,115.000000,,kWp,maxPower,0,3f0bf472-027a-4421-aa10-1d8bd28d3b66,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
34.034 Wechselrichter 10 kW1 (KBOB.2022v5),34.034 Wechselrichter 10 kW1 (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,343000.000000,343000.000000,,41.800000,41.800000,,399.000000,399.000000,,92.500000,92.500000,,kWp,maxPower,0,01e23196-7856-4acf-8926-c9ad60129694,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
34.035 Wechselrichter 20 kW1 (KBOB.2022v5),34.035 Wechselrichter 20 kW1 (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,274000.000000,274000.000000,,33.400000,33.400000,,320.000000,320.000000,,74.100000,74.100000,,kWp,maxPower,0,897456bd-6639-457a-b703-8a13b603b8b9,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"34.036 Elektroinstallation, Photovoltaikanlage1 (KBOB.2022v5)","34.036 Elektroinstallation, Photovoltaikanlage1 (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_ELECTRICAL,electrical,,167000.000000,167000.000000,,10.300000,10.300000,,170.000000,170.000000,,42.100000,42.100000,,kWp,maxPower,0,3dd4be12-0cd1-49a0-8880-8ba30e1ea3c1,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
