Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.ch.minergie.eco.MepClassification,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath,vyzn.catalogue.lifeCycle
"31.016 Erdsonden, für Sole-Wasser-Wärmepumpe (KBOB.2022v5)","31.016 Erdsonden, für Sole-Wasser-Wärmepumpe (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,46100.000000,40900.000000,5220.000000,2.340000,2.060000,0.284000,102.000000,101.000000,1.290000,23.200000,20.700000,2.560000,m,probeLength,0,55af576a-3041-4ea1-9c78-bef7123063ef,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,40
31.026 Förder- und Schluckbrunnen für Grundwasser Wärmepumpe (KBOB.2022v5),31.026 Förder- und Schluckbrunnen für Grundwasser Wärmepumpe (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,947000.000000,840000.000000,107000.000000,48.500000,44.300000,4.170000,1780.000000,1740.000000,44.800000,661.000000,566.000000,95.700000,Stk.,device,0,a5710d9b-04fc-40d5-9192-d885da64143b,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,20
31.017 Sole-Wasser Wärmepumpe 7 kW (KBOB.2022v5),31.017 Sole-Wasser Wärmepumpe 7 kW (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,4690000.000000,4200000.000000,486000.000000,502.000000,498.000000,3.160000,4460.000000,4430.000000,35.000000,2400.000000,1930.000000,473.000000,Stk.,device,0,22e2235a-a83c-45f6-9427-f94b4f974e5e,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,20
31.018 Sole-Wasser Wärmepumpe 7 kW (KBOB.2022v5),31.018 Sole-Wasser Wärmepumpe 7 kW (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,29700.000000,26600.000000,3080.000000,3.170000,3.150000,0.020000,28.200000,28.000000,0.221000,15.200000,12.200000,2.990000,kg,mass,0,e20c6a33-83fc-4eac-b584-c72158f02235,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,20
31.019 Luft-Wasser Wärmepumpe 7 kW (KBOB.2022v5),31.019 Luft-Wasser Wärmepumpe 7 kW (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,7440000.000000,6600000.000000,845000.000000,1030.000000,1020.000000,5.140000,7130.000000,7070.000000,57.200000,4000.000000,3180.000000,824.000000,Stk.,device,0,3c2731f6-9027-4651-8c00-dda182d954dc,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,20
31.020 Luft-Wasser Wärmepumpe 7 kW (KBOB.2022v5),31.020 Luft-Wasser Wärmepumpe 7 kW (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,29100.000000,25800.000000,3300.000000,4.010000,3.990000,0.020100,27.800000,27.600000,0.224000,15.600000,12.400000,3.220000,kg,mass,0,b19278f1-e280-43e7-b95e-387e5b300fa1,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,20
31.007 Flachkollektor für Warmwasser EFH (KBOB.2022v5),31.007 Flachkollektor für Warmwasser EFH (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,687000.000000,687000.000000,,148.000000,148.000000,,1070.000000,1070.000000,,289.000000,289.000000,,m2,collectorArea,0,a2577f20-910e-4ab9-b25c-28b17d727db4,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
31.008 Flachkollektor für Raumheizung und Warmwasser EFH (KBOB.2022v5),31.008 Flachkollektor für Raumheizung und Warmwasser EFH (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,483000.000000,483000.000000,,106.000000,106.000000,,782.000000,782.000000,,204.000000,204.000000,,m2,collectorArea,0,91edaf83-571f-4b81-af85-c44fa3577859,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
31.009 Flachkollektor für Warmwasser MFH (KBOB.2022v5),31.009 Flachkollektor für Warmwasser MFH (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,411000.000000,411000.000000,,82.400000,82.400000,,667.000000,667.000000,,168.000000,168.000000,,m2,collectorArea,0,e9ef231c-e33b-455d-962d-5f1b4d598988,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
31.010 Röhrenkollektor für Raumheizung und Warmwasser EFH (KBOB.2022v5),31.010 Röhrenkollektor für Raumheizung und Warmwasser EFH (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,493000.000000,493000.000000,,104.000000,104.000000,,884.000000,884.000000,,230.000000,230.000000,,m2,collectorArea,0,514cd372-7b41-418d-962a-601f600e785a,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
