Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF
"09.003.02 - Bituminöse Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EP4",KBOB2016-09.003.02,,,,MATERIAL_LIST,1175,1850,672,1180,0.2,0.2,0.008,6.1,5.9,0.217,2.84,0.466,2.37,kg,,09.003.02
"09.003.03 - Bituminöse Dichtungsbahn, swissporBIKUTOP EGV3",KBOB2016-09.003.03,,,,MATERIAL_LIST,1200,2280,1100,1180,0.2,0.2,0.008,9.7,9.5,0.217,2.98,0.607,2.37,kg,,09.003.03
"09.003.04 - Bituminöse Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EGV3",KBOB2016-09.003.04,,,,MATERIAL_LIST,1200,1860,681,1180,0.2,0.2,0.008,5.2,5.0,0.217,2.76,0.391,2.37,kg,,09.003.04
"09.003.05 - Bituminöse Dichtungsbahn, swissporBIKUTOP EGV3.5",KBOB2016-09.003.05,,,,MATERIAL_LIST,1200,2350,1170,1180,0.2,0.2,0.008,10.5,10.3,0.217,3.03,0.655,2.37,kg,,09.003.05
"09.003.06 - Bituminöse Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EGV3.5",KBOB2016-09.003.06,,,,MATERIAL_LIST,1200,1890,714,1180,0.2,0.2,0.008,5.7,5.4,0.217,2.80,0.424,2.37,kg,,09.003.06
"09.003.07 - Bituminöse Dichtungsbahn, swissporBIKUTOP EP5",KBOB2016-09.003.07,,,,MATERIAL_LIST,1180,2300,1120,1180,0.2,0.2,0.008,10.7,10.5,0.217,3.06,0.685,2.37,kg,,09.003.07
"09.003.08 - Bituminöse Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EP5",KBOB2016-09.003.08,,,,MATERIAL_LIST,1180,1860,676,1180,0.2,0.2,0.008,6.0,5.7,0.217,2.82,0.447,2.37,kg,,09.003.08
"09.003.09 - Bituminöse Dichtungsbahn, swissporBIKUTOP LL Vario",KBOB2016-09.003.09,,,,MATERIAL_LIST,1171,2470,1290,1180,0.2,0.2,0.008,11.8,11.6,0.217,3.10,0.730,2.37,kg,,09.003.09
"09.003.10 - Bituminöse Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO LL Vario",KBOB2016-09.003.10,,,,MATERIAL_LIST,1171,2120,939,1180,0.2,0.2,0.008,8.0,7.8,0.217,2.92,0.550,2.37,kg,,09.003.10
09.004 - Dichtungsbahn Gummi (EPDM),KBOB2016-09.004,,,,MATERIAL_LIST,1100,4930,3340,1590,0.7,0.7,0.006,24.8,24.6,0.163,5.86,2.70,3.16,kg,,9.004
