Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
Polystyrol extrudiert (XPS) (KBOB10.005),KBOB2022-10.005-M,,,,MATERIAL,32.5,19700,16500,3280,0.654,0.643,0.0114,29.4,29.2,0.202,14.4,11.3,3.09,kg,0,604F2ECA-F888-49C4-9FA5-C206BC37E889,KBOB 2022 V4
"Polystyrol extrudiert, SwissporXPS (KBOB10.005.01)",KBOB2022-10.005.01-M,,,,MATERIAL,34.3,8880,5600,3280,1.37,1.36,0.0114,25.5,25.3,0.202,6.96,3.87,3.09,kg,0,ACF64203-B038-4EAF-B297-53D8C48F8A42,KBOB 2022 V4
Polyurethan (PUR/PIR) (KBOB10.006),KBOB2022-10.006-M,,,,MATERIAL,30,10400,7490,2920,0.823,0.806,0.0172,30.1,29.5,0.682,7.44,4.79,2.65,kg,0,D23B8D09-6CCC-42B7-B54D-B67BEEEC54DD,KBOB 2022 V4
"Polyurethan, SwissporPIR (KBOB10.006.01)",KBOB2022-10.006.01-M,,,,MATERIAL,30,9830,6910,2920,1.03,1.02,0.0172,28,27.3,0.682,7.08,4.43,2.65,kg,0,575A32F0-D99A-4ADE-A360-8E770639A5E3,KBOB 2022 V4
Schaumglas (KBOB10.007),KBOB2022-10.007-M,,,,MATERIAL,132.5,1760,1710,42.5,1.88,1.88,0.00216,5.16,5.11,0.0526,1.19,1.17,0.0127,kg,0,328C6FA7-DA92-462A-9CC7-6D0DB5CCE2D3,KBOB 2022 V4
"Schaumglas, GLAPOR (KBOB10.007.01)",KBOB2022-10.007.01-M,,,,MATERIAL,120,1020,979,42.5,0.205,0.203,0.00216,3.15,3.1,0.0526,0.707,0.694,0.0127,kg,0,6bbf201f-48e8-4866-9dff-f6f2e3105ec6,KBOB 2022 V4
Schaumglasschotter (KBOB10.013),KBOB2022-10.013-M,,,,MATERIAL,137.5,499,457,42.5,0.262,0.26,0.00216,1.74,1.69,0.0526,0.16,0.148,0.0127,kg,0,BEB5B222-85E0-44DB-891D-851DF16EEA31,KBOB 2022 V4
"Schaumglasschotter, Misapor (KBOB10.013.01)",KBOB2022-10.013.01-M,,,,MATERIAL,137.5,434,392,42.5,0.246,0.243,0.00216,1.55,1.5,0.0526,0.132,0.12,0.0127,kg,0,62F9139A-7A1D-40DD-90F8-38B52AF993C4,KBOB 2022 V4
Steinwolle (KBOB10.008),KBOB2022-10.008-M,,,,MATERIAL,96,1790,1670,116,0.511,0.5,0.0104,4.46,4.32,0.133,1.19,1.13,0.0592,kg,0,A3BBA042-97AF-4B5C-AF00-E049CEF1A557,KBOB 2022 V4
"Steinwolle, Flumroc (KBOB10.008.01)",KBOB2022-10.008.01-M,,,,MATERIAL,96,1620,1500,116,0.339,0.328,0.0104,3.95,3.82,0.133,1.09,1.03,0.0592,kg,0,194F45E4-A08A-427B-A490-999934D5D610,KBOB 2022 V4
Strohballenwand (KBOB10.015),KBOB2022-10.015-M,,,,MATERIAL,215,586,586,0,4.87,4.87,0,0.229,0.229,0,0.0956,0.0956,0,kg,0.368,92766C16-5D0D-44ED-9F92-C15AA32DECCE,KBOB 2022 V4
Weichfaserplatte (KBOB10.009),KBOB2022-10.009-M,,,,MATERIAL,148,1400,1170,227,7.11,7.09,0.0123,3.42,3.27,0.151,0.725,0.633,0.0921,kg,0.436,B9689582-8BDE-4FE1-849D-BBBED840E410,KBOB 2022 V4
Zellulosefasern (KBOB10.010),KBOB2022-10.010-M,,,,MATERIAL,47.5,556,395,161,0.258,0.245,0.0134,1.05,0.882,0.165,0.28,0.209,0.0709,kg,0.404,858771D5-96F5-42C9-AEE3-51D3BE1879F7,KBOB 2022 V4
"Zellulosefasern, Isofloc (KBOB10.010.01)",KBOB2022-10.010.01-M,,,,MATERIAL,47.5,470,309,161,0.239,0.226,0.0134,0.848,0.683,0.165,0.233,0.163,0.0709,kg,0.404,1F31C383-B2A1-490D-AB0F-B3EA2A24D804,KBOB 2022 V4
"2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm (KBOB11.001)",KBOB2022-11.001-M,,,,MATERIAL,4.55,41700,33500,8240,1.52,1.44,0.0799,65.1,62.8,2.26,18.4,11.1,7.24,m2,0,D5660BDD-EC47-4D6A-B3C1-3EA06F77EA89,KBOB 2022 V4
"2K-Fliessbelag Wohnen/Verwaltung (Epoxidharz, PU), 2 mm (KBOB11.002)",KBOB2022-11.002-M,,,,MATERIAL,3.6,25800,21300,4540,2.05,1.99,0.06,62,60.5,1.45,13.9,10,3.87,m2,0,4E8C7D2C-2FC7-4E38-AB39-049E58E9CFCC,KBOB 2022 V4
"Gummigranulat versiegelt, 7.5 mm (KBOB11.003)",KBOB2022-11.003-M,,,,MATERIAL,8.25,38800,25400,13400,2.53,2.39,0.137,113,110,2.73,26.8,14.9,11.9,m2,0,2F71DB77-CF3D-49DC-8DCA-C25203ED860B,KBOB 2022 V4
"Gussasphalt, 27.5 mm (KBOB11.004)",KBOB2022-11.004-M,,,,MATERIAL,63.3,33700,24600,9070,3.39,3.24,0.152,126,120,5.4,15.9,14.7,1.22,m2,0,B0C749DA-292B-417D-8E38-65766E052FBC,KBOB 2022 V4
"Hartbeton einschichtig, 27.5 mm (KBOB11.005)",KBOB2022-11.005-M,,,,MATERIAL,57.8,26500,24100,2460,2.26,2.13,0.125,46.6,43.5,3.04,16.4,15.7,0.733,m2,0,FC78B567-FFF2-432F-98A2-07A1420AA8BD,KBOB 2022 V4
"Hartbeton zweischichtig, 35 mm (KBOB11.006)",KBOB2022-11.006-M,,,,MATERIAL,73.5,27200,24100,3120,2.28,2.12,0.159,41.8,37.9,3.87,16.4,15.4,0.932,m2,0,160EF365-BB74-41C8-AF40-5256811D83C3,KBOB 2022 V4
"Kautschuk, 2 mm (KBOB11.007)",KBOB2022-11.007-M,,,,MATERIAL,3.36,24200,20400,3750,9.79,9.72,0.0651,60.8,59.8,0.924,14.1,11,3.19,m2,0,63EE2517-0078-4246-B833-08D253528653,KBOB 2022 V4
"Keramik-/Steinzeugplatte, 9 mm (KBOB11.008)",KBOB2022-11.008-M,,,,MATERIAL,18,86800,73000,13800,4.39,3.69,0.7,83.1,66,17,18.1,14,4.11,m2,0,414EEBBE-85C4-4869-A411-29C0097ADA38,KBOB 2022 V4
"Kork Fertigparkett, 10.5 mm (KBOB11.009)",KBOB2022-11.009-M,,,,MATERIAL,7.8,15500,13400,2130,39.1,39,0.098,45.2,43.8,1.36,9.06,7.77,1.3,m2,3,09B8473A-DDB4-42D4-977E-C9CA914B54AC,KBOB 2022 V4
"Kork PVC-beschichtet, 3.2 mm (KBOB11.010)",KBOB2022-11.010-M,,,,MATERIAL,2.7,11900,7890,4060,8.35,8.25,0.095,34.7,33.3,1.43,8.28,4.75,3.52,m2,1,BF645614-152F-4820-8AA9-45B474C60CE2,KBOB 2022 V4
"Korkparkett geölt/versiegelt, 5.3 mm (KBOB11.011)",KBOB2022-11.011-M,,,,MATERIAL,2.7,5960,3830,2130,12.3,12.2,0.098,12.1,10.7,1.36,3.26,1.96,1.3,m2,1,32D89BCF-BBDA-4EC1-B2B8-E4EE731B5D82,KBOB 2022 V4
"Kunststeinplatte zementgebunden, 10 mm (KBOB11.012)",KBOB2022-11.012-M,,,,MATERIAL,21.5,25700,6100,19600,1.75,0.749,0.999,30.4,6.04,24.3,10.4,4.51,5.86,m2,0,D6E43E7F-94A3-46BC-8327-A37DC2283E3A,KBOB 2022 V4
"Laminat, 8.5 mm (KBOB11.013)",KBOB2022-11.013-M,,,,MATERIAL,8.5,16600,13600,2970,38.2,38.1,0.106,42.7,41.3,1.45,10.4,8.1,2.3,m2,2,927E7BE7-E17F-4B77-B6A5-F1E755ED4C9D,KBOB 2022 V4
"Linoleum, 2.5 mm (KBOB11.014)",KBOB2022-11.014-M,,,,MATERIAL,2.9,15800,15100,728,19.3,19.2,0.0354,26.3,25.9,0.437,6.36,5.84,0.516,m2,1,219ECD16-D974-452B-9D34-CB93A1C2087D,KBOB 2022 V4
"Natursteinplatte geschliffen, 15 mm (KBOB11.015)",KBOB2022-11.015-M,,,,MATERIAL,40.5,41800,40100,1720,19.3,19.3,0.0875,118,116,2.13,16.8,16.3,0.514,m2,0,A94BDF7C-82AA-49BB-A7D8-BA6C9DE53D49,KBOB 2022 V4
"Natursteinplatte geschliffen, Europa, 15 mm (KBOB11.015.01)",KBOB2022-11.015.01-M,,,,MATERIAL,40.5,40600,38900,1720,19.4,19.3,0.0875,117,115,2.13,16.6,16,0.514,m2,0,C5248FB7-477A-414E-9767-D520A592AD8F,KBOB 2022 V4
"Natursteinplatte geschliffen, Schweiz, 15 mm (KBOB11.015.02)",KBOB2022-11.015.02-M,,,,MATERIAL,40.5,34700,33000,1720,18.8,18.7,0.0875,104,102,2.13,13.3,12.8,0.514,m2,0,31E6D875-1CEC-4AB8-BA9F-4515F540EF64,KBOB 2022 V4
"Natursteinplatte geschliffen, Übersee, 15 mm (KBOB11.015.03)",KBOB2022-11.015.03-M,,,,MATERIAL,40.5,44400,42700,1720,19.4,19.4,0.0875,122,120,2.13,17.9,17.4,0.514,m2,0,8248313F-D90D-4DE8-B4A4-B9DBE3FD1D47,KBOB 2022 V4
"Natursteinplatte geschnitten, 15 mm (KBOB11.016)",KBOB2022-11.016-M,,,,MATERIAL,40.5,31900,30200,1720,13.2,13.1,0.0875,87.6,85.5,2.13,13.4,12.9,0.514,m2,0,09C392C6-F1C7-421F-B4DA-536C97AB36C7,KBOB 2022 V4
"Natursteinplatte poliert, 15 mm (KBOB11.017)",KBOB2022-11.017-M,,,,MATERIAL,40.5,69600,67900,1720,24.7,24.6,0.0875,144,142,2.13,19.6,19.1,0.514,m2,0,09098784-8F4C-4C60-BD8D-39EB2145D8C4,KBOB 2022 V4
"Parkett 2-Schicht werkversiegelt, 11 mm (KBOB11.018)",KBOB2022-11.018-M,,,,MATERIAL,6.1,16100,15600,490,87.5,87.5,0.0368,42.2,41.7,0.563,7.8,7.46,0.337,m2,3,E7E6539A-A99C-41CA-B367-9F23E95AB60B,KBOB 2022 V4
"Parkett 3-Schicht werkversiegelt, 15 mm (KBOB11.019)",KBOB2022-11.019-M,,,,MATERIAL,7.9,18100,17500,635,145,145,0.0477,40.3,39.6,0.729,8.09,7.65,0.437,m2,4,3A16EE50-78D2-41C3-B04C-081938045128,KBOB 2022 V4
"Parkett Mosaik werkversiegelt, 8 mm (KBOB11.020)",KBOB2022-11.020-M,,,,MATERIAL,5.6,9010,8660,352,89.9,89.9,0.0336,23.2,22.8,0.497,3.57,3.35,0.218,m2,2,3CBF6DF7-FB0E-43EC-B297-DFBA6B9E4283,KBOB 2022 V4
"PVC homogen, 2 mm (KBOB11.021)",KBOB2022-11.021-M,,,,MATERIAL,3.1,20600,13400,7140,2.22,1.92,0.297,58.2,55,3.19,14.4,8.16,6.22,m2,0,07714EA8-1659-4E92-BF5B-CE52120C7B4F,KBOB 2022 V4
"Steinholz versiegelt, 16.5 mm (KBOB11.022)",KBOB2022-11.022-M,,,,MATERIAL,22,16400,15400,934,0.958,0.91,0.0476,25.1,24,1.16,12.9,12.7,0.279,m2,0,9C7A2743-77DD-4CE8-B1C7-A412157B907C,KBOB 2022 V4
"Synthetische thermoplastische Beläge (TPO), 2 mm (KBOB11.023)",KBOB2022-11.023-M,,,,MATERIAL,3.4,20000,9510,10400,3.17,3.14,0.0296,43.3,42.6,0.638,16,5.87,10.1,m2,0,C8140CBD-C5D3-40B0-9AEF-498C98AD7909,KBOB 2022 V4
Teppich Kunstfaser getuftet (KBOB11.024),KBOB2022-11.024-M,,,,MATERIAL,2.1,21100,14700,6470,0.584,0.565,0.0183,50,49.6,0.394,16.7,10.5,6.25,m2,0,92E45A3D-900C-4492-ADA8-61B2DD0019C8,KBOB 2022 V4
Teppich Nadelfilz (KBOB11.025),KBOB2022-11.025-M,,,,MATERIAL,1.3,12700,8700,4010,0.595,0.584,0.0113,34.3,34,0.244,9.84,5.97,3.87,m2,0,E5FD6450-C5AC-4847-BCCD-D0F029C154E6,KBOB 2022 V4
Teppich Naturfaser (KBOB11.026),KBOB2022-11.026-M,,,,MATERIAL,2.7,15300,13200,2070,10.9,10.8,0.0236,15.5,15.1,0.414,5.08,3.22,1.85,m2,1,9C22D41F-BB8A-428D-A09A-853D819ABCDF,KBOB 2022 V4
"Terrazzo versiegelt, 40 mm (KBOB11.027)",KBOB2022-11.027-M,,,,MATERIAL,95,28100,24100,4040,4.12,3.92,0.205,40.5,35.5,5,17.3,16.1,1.2,m2,0,3C9838E9-2A6B-46EF-B6B7-E310A1B0A6B8,KBOB 2022 V4
"Aussentüre, Aluminium, Glaseinsatz (KBOB12.005)",KBOB2022-12.005-M,,,,MATERIAL,,394000,377000,17300,116,116,0.479,911,906,5.34,216,201,14.8,m2,0,35881663-8dbf-472c-8690-957d157a54a2,KBOB 2022 V4
"Aussentüre, Aluminium, Paneelfüllung (KBOB12.006)",KBOB2022-12.006-M,,,,MATERIAL,,385000,374000,10500,142,142,0.0258,837,836,0.792,192,182,10,m2,0,2c4d1c2a-496b-4d2f-8e9f-ce621e4a1afb,KBOB 2022 V4
"Aussentüre, Holz (KBOB12.008)",KBOB2022-12.008-M,,,,MATERIAL,,125000,116000,9270,283,283,0.136,265,260,4.17,62.2,54.6,7.64,m2,16,ff27a77b-badc-4527-9373-29f79906804c,KBOB 2022 V4
"Aussentüre, Holz, aluminiumbeplankt (KBOB12.001)",KBOB2022-12.001-M,,,,MATERIAL,,231000,222000,9270,328,328,0.136,505,501,4.17,116,108,7.64,m2,16,4C49FCC1-4EF1-41DC-8754-E19D12D113FA,KBOB 2022 V4
"Aussentüre, Holz, Glaseinsatz (KBOB12.002)",KBOB2022-12.002-M,,,,MATERIAL,,161000,148000,12100,246,246,0.314,359,352,6.31,85.7,76,9.7,m2,13,1B535A14-092B-4B01-9882-459671D72379,KBOB 2022 V4
"Innentüre, Aluminium, Glaseinsatz (KBOB12.007)",KBOB2022-12.007-M,,,,MATERIAL,,315000,305000,10500,103,103,0.332,722,719,3.6,166,157,8.71,m2,0,70161147-1156-4b2d-b954-d6592929a8ef,KBOB 2022 V4
"Innentüre, Funktionstüre, Holz, Holzrahmen (KBOB12.009)",KBOB2022-12.009-M,,,,MATERIAL,,87800,79200,8530,279,279,0.177,190,185,4.87,44.3,37.4,6.86,m2,17,bfa8d003-c41c-4c53-9875-5c924683a1d2,KBOB 2022 V4
"Innentüre, Funktionstüre, Holz, Stahlzarge (KBOB12.012)",KBOB2022-12.012-M,,,,MATERIAL,,181000,173000,7920,231,231,0.169,357,352,4.35,96.8,90.3,6.46,m2,14,0be05dde-ba72-4acc-bf8d-278e526584d7,KBOB 2022 V4
"Innentüre, Zimmertüre, Holz, Glaseinsatz, Holzrahmen (KBOB12.004)",KBOB2022-12.004-M,,,,MATERIAL,,109000,99800,8880,200,200,0.273,255,249,5.23,59.7,52.8,6.92,m2,11,A1868DC5-9456-4291-865A-499B33A5FCD1,KBOB 2022 V4
"Innentüre, Zimmertüre, Holz, Glaseinsatz, Stahlzarge (KBOB12.011)",KBOB2022-12.011-M,,,,MATERIAL,,202000,193000,8270,152,152,0.265,421,416,4.71,112,106,6.53,m2,7,baf5dab7-6a2d-47f6-a64c-867e2227b969,KBOB 2022 V4
"Innentüre, Zimmertüre, Holz, Holzrahmen (KBOB12.003)",KBOB2022-12.003-M,,,,MATERIAL,,64500,57800,6700,206,206,0.123,141,137,3.44,32.3,26.9,5.39,m2,12,767D89CB-9927-4BDD-ACD3-FCC79C32B97E,KBOB 2022 V4
"Innentüre, Zimmertüre, Holz, Stahlzarge (KBOB12.010)",KBOB2022-12.010-M,,,,MATERIAL,,157000,151000,6090,158,158,0.115,307,304,2.92,84.8,79.8,5,m2,9,0ea0aaec-c7a6-42ab-97cb-d02848277eb6,KBOB 2022 V4
Acrylnitril-Butadien-Styrol (ABS) (KBOB13.001),KBOB2022-13.001-M,,,,MATERIAL,1050,9770,6790,2980,0.429,0.408,0.0208,30,29.2,0.739,7.67,4.92,2.75,kg,0,D145CC3E-3828-487D-8C94-C2CDC23BF922,KBOB 2022 V4
Gusseisen (KBOB13.005),KBOB2022-13.005-M,,,,MATERIAL,7850,5660,5650,11.1,0.268,0.267,0.000567,5.48,5.45,0.0272,2.09,2.09,0.00693,kg,0,BF5ADE50-BDAD-419B-B7E5-9A3F7F6938A3,KBOB 2022 V4
Polyethylen (PE) (KBOB13.002),KBOB2022-13.002-M,,,,MATERIAL,960,6020,3570,2450,0.537,0.523,0.014,23.2,23,0.209,4.75,2.38,2.37,kg,0,0DB3712B-3B7E-44BB-B56C-A49DDED3D465,KBOB 2022 V4
Polypropylen (PP) (KBOB13.003),KBOB2022-13.003-M,,,,MATERIAL,910,6050,3600,2450,0.421,0.407,0.014,22.7,22.5,0.209,4.77,2.4,2.37,kg,0,92B2EFB8-9F95-47EC-963D-114CBE430246,KBOB 2022 V4
Polyvinylchlorid (PVC) (KBOB13.004),KBOB2022-13.004-M,,,,MATERIAL,1390,6240,3880,2370,0.637,0.536,0.101,19.5,18.4,1.1,4.48,2.38,2.1,kg,0,5A6449C2-62A0-4A42-BF6D-F1E33F5F9480,KBOB 2022 V4
"Anstrich, lösemittelverdünnbar, 2 Anstriche (KBOB14.002)",KBOB2022-14.002-M,,,,MATERIAL,0.3,2260,2190,70.7,0.449,0.449,0.00066,6.57,6.55,0.0167,0.975,0.919,0.0562,m2,0,07DD2F56-133A-4FBF-A39B-1D374248EB2A,KBOB 2022 V4
"Anstrich, wasserverdünnbar, 2 Anstriche (KBOB14.001)",KBOB2022-14.001-M,,,,MATERIAL,0.3,1220,1150,70.7,0.14,0.14,0.00066,4.17,4.15,0.0167,0.701,0.645,0.0562,m2,0,10ACA0B7-B75D-4F51-A3AB-976B923ACA8A,KBOB 2022 V4
"Bitumenemulsion, 1 Anstrich (KBOB14.003)",KBOB2022-14.003-M,,,,MATERIAL,0.25,428,369,59,0.0167,0.0161,0.00055,1.85,1.84,0.014,0.181,0.134,0.0468,m2,0,1165EF5A-E1A2-4C0D-9307-622DEE107999,KBOB 2022 V4
