Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF
"02.001.01 - Backstein, perlitgefüllt, zzwancor",02.001.01 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,575,421,378,43,0.1,0,0,0.9,1,0.1,0.28,0.27,0.01,kg,0,02.001.01
2.002 - Kalksandstein,2.002 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1400,259,216,42.7,0.04,0,0,0.39,0,0,0.162,0.149,0.0128,kg,0,2.002
"02.002.01 - Kalksandstein, FBB",02.002.01 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1600,196,153,43,0,0,0,0.3,0.3,0.1,0.12,0.102,0.01,kg,0,02.002.01
"02.002.02 - Kalksandstein, Hunziker Kalksandstein AG",02.002.02 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1600,191,148,43,0,0,0,0.3,0.2,0.1,0.11,0.094,0.01,kg,0,02.002.02
2.003 - Leichtlehmstein,2.003 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,700,354,311,42.7,0.79,1,0,0.76,1,0,0.18,0.167,0.0128,kg,0,2.003
"2.004 - Leichtzementstein, Blähton",2.004 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1200,610,568,42.7,0.06,0,0,1.43,1,0,0.429,0.416,0.0128,kg,0,2.004
"2.005 - Leichtzementstein, Naturbims",2.005 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1200,323,280,42.7,0.04,0,0,0.36,0,0,0.213,0.2,0.0128,kg,0,2.005
2.006 - Porenbetonstein,2.006 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,500,574,531,42.7,0.07,0,0,0.86,1,0,0.427,0.414,0.0128,kg,0,2.006
2.007 - Zementstein,2.007 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1700,215,172,42.7,0.03,0,0,0.226,0,0,0.127,0.114,0.0128,kg,0,2.007
"02.007.01 - Erdstein, aus gepresster Erde, Terrabloc",02.007.01 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1850,136,84,52,0,0,0,0.1,0.1,0,0.06,0.054,0,kg,0,02.007.01
"02.007.02 - Hanfsteine, Schönthaler AG",02.007.02 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,300,824,751,72,1.8,2,0,1.9,1.8,0.1,0.37,0.338,0.03,kg,0.15,02.007.02
3.021 - Betongranulat,3.021 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2500,44,3,40.4,0,0,0,0.06,0,0,0.014,0.001,0.0128,kg,0,3.021
3.001 - Betonziegel,3.001 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2300,327,284,42.7,0.04,0,0,0.47,0,0,0.209,0.196,0.0128,kg,0,3.001
3.002 - Faserzement-Dachschindel,3.002 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1800,1100,1040,68,0.5,0,0,2.16,2,0,0.7,0.687,0.0133,kg,0,3.002
3.003 - Faserzementplatte gross,3.003 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1800,1520,1450,68,0.6,1,0,2.9,3,0,1.04,1.02,0.0133,kg,0,3.003
3.004 - Faserzement-Wellplatte,3.004 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1800,1060,992,68,0.55,1,0,1.78,2,0,0.65,0.636,0.0133,kg,0,3.004
3.005 - Flachglas beschichtet,3.005 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2500,2000,1930,69.2,0.3,0,0,4.6,5,0,1.2,1.19,0.0193,kg,0,3.005
3.006 - Flachglas unbeschichtet,3.006 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2500,1790,1720,69.2,0.1,0,0,4.1,4,0,1.14,1.12,0.0193,kg,0,3.006
3.007 - Gipsfaserplatte,3.007 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1200,875,803,71.8,0.1,0,0,2.47,2,0,0.553,0.534,0.0188,kg,0,3.007
3.008 - Gipskartonplatte,3.008 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,850,525,453,72.1,0.09,0,0,1.33,1,0,0.302,0.283,0.0189,kg,0,3.008
3.016 - Gips-Wandbauplatte / Vollgipsplatte,3.016 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1000,531,459,71.7,0.03,0,0,1.45,1,0,0.317,0.298,0.0187,kg,0,3.016
3.009 - Hartsandsteinplatte,3.009 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2500,113,70,42.7,0.05,0,0,0.28,0,0,0.0411,0.0283,0.0128,kg,0,3.009
3.017 - Kalksteinplatte,3.017 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2500,141,98.3,42.7,0.03,0,0,0.34,0,0,0.0738,0.061,0.0128,kg,0,3.017
3.01 - Keramik-/Steinzeugplatte,3.01 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2600,4110,4060,42.7,0.2,0,0,3.7,4,0,0.796,0.783,0.0128,kg,0,3.01
3.011 - Kies gebrochen,3.011 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2000,65.2,24.8,40.4,0.008,0,0,0.085,0,0,0.0178,0.00508,0.0128,kg,0,3.011
3.022 - Mischgranulat,3.022 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2400,41.3,0.8,40.4,0.002,0,0,0.053,0,0,0.0135,0.00071,0.0128,kg,0,3.022
3.012 - Rundkies,3.012 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2000,59.7,19.3,40.4,0.004,0,0,0.069,0,0,0.0159,0.00308,0.0128,kg,0,3.012
3.013 - Sand,3.013 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2000,59.7,19.3,40.4,0.004,0,0,0.069,0,0,0.0159,0.00308,0.0128,kg,0,3.013
3.014 - Sanitärkeramik,3.014 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2000,4690,4650,42.7,0.4,0,0,11.1,11,0,2.38,2.37,0.0128,kg,0,3.014
3.02 - Stampflehm,3.02 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2000,80,32,48.2,0,0,0,0.1,0,0,0.02,0.02,0.00115,kg,0,3.02
3.015 - Tonziegel,3.015 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1700,515,480,35.9,0.03,0,0,1.12,1,0,0.386,0.373,0.0128,kg,0,3.015
4.008 - Baukleber/Einbettmörtel mineralisch,4.008 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1400,634,591,42.7,0.17,0,0,1.53,1,0,0.406,0.393,0.0129,kg,0,4.008
4.01 - Baukleber/Einbettmörtel mineralisch Leichtzuschlag,4.01 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1100,639,596,42.7,0.15,0,0,1.61,2,0,0.427,0.414,0.0129,kg,0,4.01
4.002 - Baukleber/Einbettmörtel organisch,4.002 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,1670,1400,1350,42.7,0.2,0,0,4.2,4,0,0.78,0.77,0.0129,kg,0,4.002
