Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
31.009 Flachkollektor für Warmwasser MFH,KBOB2022-31.009,,,,MATERIAL_LIST,,411000.0,411000.0,,81.4,81.4,,667.0,667.0,,168.0,168.0,,m2,,4FE800F8-909C-4102-9E3F-525A7AD89DCE,KBOB 2022 V4
31.010 Röhrenkollektor für Raumheizung und Warmwasser EFH,KBOB2022-31.010,,,,MATERIAL_LIST,,492000.0,492000.0,,102.0,102.0,,884.0,884.0,,230.0,230.0,,m2,,85D42D88-963C-488B-B94E-C9FD0985CF27,KBOB 2022 V4
31.028 Hybridkollektor Schrägdach mit Erdsondenregeneration,KBOB2022-31.028,,,,MATERIAL_LIST,,715000.0,715000.0,,152.0,152.0,,1300.0,1300.0,,343.0,343.0,,m2,,3058E4BA-F5B1-42AF-8905-745801085D2B,KBOB 2022 V4
31.029 Hybridkollektor Schrägdach mit Warmwasserspeicher,KBOB2022-31.029,,,,MATERIAL_LIST,,769000.0,769000.0,,167.0,167.0,,1380.0,1380.0,,369.0,369.0,,m2,,50066F27-9A16-4226-9BD9-6C53C61B330B,KBOB 2022 V4
"32.011 Lüftungsanlage, spez. Luftmenge 1 m3/hm2 EBF",KBOB2022-32.011,,,,MATERIAL_LIST,,34200.0,33600.0,591.0,4.43,4.42,0.00953,50.5,50.3,0.144,15.0,14.6,0.338,m2,,A05F4D90-D030-49B6-A08A-BAD5228E3552,KBOB 2022 V4
"32.005 Lüftungsanlage, spez. Luftmenge 2 m3/hm2 EBF",KBOB2022-32.005,,,,MATERIAL_LIST,,46100.0,45200.0,828.0,5.95,5.94,0.013,68.2,68.0,0.198,20.2,19.7,0.475,m2,,E13EE05E-FD34-4FB5-A178-0FC4164A96F2,KBOB 2022 V4
"32.006 Lüftungsanlage, spez. Luftmenge 4 m3/hm2 EBF",KBOB2022-32.006,,,,MATERIAL_LIST,,69800.0,68500.0,1300.0,9.0,8.98,0.0198,104.0,103.0,0.306,30.6,29.8,0.748,m2,,6704A56E-25F3-4DD0-8890-EC2E2A0D4B9C,KBOB 2022 V4
"32.007 Lüftungsanlage, spez. Luftmenge 6 m3/hm2 EBF",KBOB2022-32.007,,,,MATERIAL_LIST,,93600.0,91900.0,1770.0,12.0,12.0,0.0267,139.0,139.0,0.414,41.0,39.9,1.02,m2,,4EBAA5FE-7F18-443E-A05A-08185A6165D0,KBOB 2022 V4
"32.012 Lüftungsanlage, spez. Luftmenge 8 m3/hm2 EBF",KBOB2022-32.012,,,,MATERIAL_LIST,,117000.0,115000.0,2250.0,15.1,15.1,0.0335,174.0,174.0,0.522,51.4,50.1,1.29,m2,,3A51918F-AB60-4CE7-A771-A10C3266684A,KBOB 2022 V4
"32.001 Lüftungsanlage Wohnen, Blechkanäle, inkl. Küchenabluft",KBOB2022-32.001,,,,MATERIAL_LIST,,41400.0,41000.0,361.0,4.18,4.18,0.00538,49.7,49.6,0.0674,14.1,13.8,0.298,m2,,F6DCDEFA-AFE6-44CB-8B68-3527ABFDC011,KBOB 2022 V4
"32.002 Lüftungsanlage Wohnen, PE-Kanäle, inkl. Küchenabluft",KBOB2022-32.002,,,,MATERIAL_LIST,,21300.0,20600.0,781.0,2.47,2.47,0.00336,30.7,30.6,0.0619,8.25,7.53,0.723,m2,,DD16B81F-E498-48D6-9754-A1E95558BFFE,KBOB 2022 V4
32.003 Abluftanlage Küche und Bad,KBOB2022-32.003,,,,MATERIAL_LIST,,11500.0,11300.0,175.0,1.15,1.15,0.000259,13.8,13.7,0.00793,3.64,3.52,0.125,m2,,b05c4b9b-b749-4f50-a92b-98713a494220,KBOB 2022 V4
32.004 Erdregister zu Lüftungsanlage Wohnen,KBOB2022-32.004,,,,MATERIAL_LIST,,6870.0,4590.0,2280.0,0.598,0.527,0.0709,15.3,14.2,1.06,4.43,2.81,1.62,m2,,958BA083-03C8-4336-BFC5-0DB5B6BC1B43,KBOB 2022 V4
32.008 Erdregister kurz zu Lüftungsanlage Büro (0.27 m/m2 EBF),KBOB2022-32.008,,,,MATERIAL_LIST,,11900.0,7950.0,3950.0,1.04,0.914,0.123,26.5,24.7,1.84,7.67,4.87,2.81,m2,,555E9A89-95DF-4C98-BC55-879B4C7E4BFE,KBOB 2022 V4
32.009 Erdregister lang zu Lüftungsanlage Büro (0.67 m/m2 EBF),KBOB2022-32.009,,,,MATERIAL_LIST,,29800.0,19900.0,9880.0,2.59,2.29,0.307,66.2,61.6,4.59,19.2,12.2,7.02,m2,,17BF48A3-72AD-4EBB-A2DE-3256129F7031,KBOB 2022 V4
"32.010 Einzelraumlüfer Fenstermodell 10-30 m3/h, ohne Montage",KBOB2022-32.010,,,,MATERIAL_LIST,,84200.0,78000.0,6130.0,106.0,106.0,0.0762,214.0,213.0,1.33,43.7,38.2,5.48,Stk.,,564C9F25-EE8A-4799-A049-6D26DF586F05,KBOB 2022 V4
"33.001 Sanitäranlagen, Büro, einfach, inkl. Apparate und Leitungen",KBOB2022-33.001,,,,MATERIAL_LIST,,8490.0,7280.0,1200.0,1.19,1.18,0.0065,19.1,18.9,0.115,4.73,3.58,1.15,m2,,45766F6B-BC17-4725-B939-23AA76838736,KBOB 2022 V4
"33.002 Sanitäranlagen, Büro, aufwändig, inkl. Apparate und Leitungen",KBOB2022-33.002,,,,MATERIAL_LIST,,21000.0,17000.0,3950.0,3.32,3.3,0.0202,45.6,45.1,0.427,12.3,8.52,3.76,m2,,2DEEC4B0-D3FE-4124-A08A-0DD398A65220,KBOB 2022 V4
"33.003 Sanitäranlagen, Wohnen, inkl. Apparate und Leitungen",KBOB2022-33.003,,,,MATERIAL_LIST,,26300.0,24700.0,1670.0,3.9,3.88,0.0229,46.1,45.8,0.283,12.5,11.0,1.54,m2,,27B5089E-6003-4920-991A-0BCC005B9434,KBOB 2022 V4
34.001 Elektroanlagen Wohnen,KBOB2022-34.001,,,,MATERIAL_LIST,,37000.0,33400.0,3630.0,4.68,4.62,0.0605,53.9,53.2,0.718,13.0,9.53,3.42,m2,,69524911-E277-4B29-827D-B8475E4D8C23,KBOB 2022 V4
