Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath
10.004 Polystyrol expandiert (EPS) (KBOB.2022v5),10.004 Polystyrol expandiert (EPS) (KBOB.2022v5),,,,MATERIAL,,9800.000000,6520.000000,3280.000000,0.524000,0.512000,0.011700,30.000000,29.800000,0.202000,7.600000,4.510000,3.090000,kg,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"10.004.01 Polystyrol expandiert, SwissporEPS (KBOB.2022v5)","10.004.01 Polystyrol expandiert, SwissporEPS (KBOB.2022v5)",,,,MATERIAL,,8790.000000,5510.000000,3280.000000,0.729000,0.718000,0.011700,26.700000,26.500000,0.202000,6.950000,3.860000,3.090000,kg,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
10.005 Polystyrol extrudiert (XPS) (KBOB.2022v5),10.005 Polystyrol extrudiert (XPS) (KBOB.2022v5),,,,MATERIAL,,19700.000000,16500.000000,3280.000000,0.671000,0.659000,0.011700,29.400000,29.200000,0.202000,14.400000,11.300000,3.090000,kg,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"10.005.01 Polystyrol extrudiert, SwissporXPS (KBOB.2022v5)","10.005.01 Polystyrol extrudiert, SwissporXPS (KBOB.2022v5)",,,,MATERIAL,,8880.000000,5600.000000,3280.000000,1.370000,1.360000,0.011700,25.500000,25.300000,0.202000,6.960000,3.870000,3.090000,kg,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
10.006 Polyurethan (PUR/PIR) (KBOB.2022v5),10.006 Polyurethan (PUR/PIR) (KBOB.2022v5),,,,MATERIAL,,10400.000000,7490.000000,2920.000000,0.830000,0.813000,0.017600,30.100000,29.500000,0.682000,7.440000,4.790000,2.650000,kg,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"10.006.01 Polyurethan, SwissporPIR (KBOB.2022v5)","10.006.01 Polyurethan, SwissporPIR (KBOB.2022v5)",,,,MATERIAL,,9830.000000,6910.000000,2920.000000,1.030000,1.020000,0.017600,28.000000,27.300000,0.682000,7.080000,4.430000,2.650000,kg,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
10.007 Schaumglas (KBOB.2022v5),10.007 Schaumglas (KBOB.2022v5),,,,MATERIAL,,1760.000000,1710.000000,42.500000,1.880000,1.880000,0.002210,5.160000,5.110000,0.052600,1.190000,1.170000,0.012700,kg,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"10.007.01 Schaumglas, GLAPOR (KBOB.2022v5)","10.007.01 Schaumglas, GLAPOR (KBOB.2022v5)",,,,MATERIAL,,1020.000000,979.000000,42.500000,0.206000,0.203000,0.002210,3.150000,3.100000,0.052600,0.707000,0.694000,0.012700,kg,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
10.013 Schaumglasschotter (KBOB.2022v5),10.013 Schaumglasschotter (KBOB.2022v5),,,,MATERIAL,,499.000000,457.000000,42.500000,0.262000,0.260000,0.002210,1.740000,1.690000,0.052600,0.160000,0.148000,0.012700,kg,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"10.013.01 Schaumglasschotter, Misapor (KBOB.2022v5)","10.013.01 Schaumglasschotter, Misapor (KBOB.2022v5)",,,,MATERIAL,,434.000000,392.000000,42.500000,0.246000,0.243000,0.002210,1.550000,1.500000,0.052600,0.132000,0.120000,0.012700,kg,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
