Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
Heizkessel Kohle Koks (KBOB43.004 ),KBOB2022-43.004-M,,,,MATERIAL,,885.000,,,0.02,,,1.99,,,0.64,,,Stk.,,17BF48A3-72AD-4EBB-A2DE-3256129F7031,KBOB 2022 V4
Heizkessel Kohle Brikett (KBOB43.005 ),KBOB2022-43.005-M,,,,MATERIAL,,1070.000,,,0.01,,,1.49,,,0.59,,,m2,,564C9F25-EE8A-4799-A049-6D26DF586F05,KBOB 2022 V4
Heizkessel Stückholz (KBOB43.006 ),KBOB2022-43.006-M,,,,MATERIAL,,239.000,,,1.35,,,0.07,,,0.03,,,m2,,adbada8c-108b-4869-a098-bc2cda5c5929,KBOB 2022 V4
Heizkessel Stückholz mit Partikelfilter (KBOB43.010 ),KBOB2022-43.010-M,,,,MATERIAL,,239.000,,,1.35,,,0.07,,,0.03,,,m2,,45766F6B-BC17-4725-B939-23AA76838736,KBOB 2022 V4
Heizkessel Holzschnitzel (KBOB43.007 ),KBOB2022-43.007-M,,,,MATERIAL,,164.000,,,1.33,,,0.06,,,0.02,,,m2,,2DEEC4B0-D3FE-4124-A08A-0DD398A65220,KBOB 2022 V4
Heizkessel Holzschnitzel mit Partikelfilter (KBOB43.011 ),KBOB2022-43.011-M,,,,MATERIAL,,164.000,,,1.33,,,0.06,,,0.02,,,m2,,27B5089E-6003-4920-991A-0BCC005B9434,KBOB 2022 V4
Heizkessel Pellets (KBOB43.008 ),KBOB2022-43.008-M,,,,MATERIAL,,142.000,,,1.28,,,0.17,,,0.04,,,kWp,,406B9ED4-C9C0-41E2-B945-7844C7313250,KBOB 2022 V4
Heizkessel Pellets mit Partikelfilter (KBOB43.012 ),KBOB2022-43.012-M,,,,MATERIAL,,142.000,,,1.28,,,0.17,,,0.04,,,kWp,,69524911-E277-4B29-827D-B8475E4D8C23,KBOB 2022 V4
Heizkessel Biogas (KBOB43.009 ),KBOB2022-43.009-M,,,,MATERIAL,,158.000,,,0.03,,,0.30,,,0.13,,,kWp,,288A84C2-129A-431D-B135-7F7A3F9D0CBD,KBOB 2022 V4
"Elektrowärmepumpe Luft / Wasser (15kW, Altbau, JAZ 2.7, Strom CH) (KBOB44.001 )",KBOB2022-44.001-M,,,,MATERIAL,,214.000,,,0.84,,,0.78,,,0.06,,,kWp,,276ac558-09e7-4a6d-b6d8-5643d08bcf9b,KBOB 2022 V4
"Elektrowärmepumpe Luft / Wasser (15kW, Altbau, JAZ 2.7, Strom CH zertifiziert) (KBOB44.012 )",KBOB2022-44.012-M,,,,MATERIAL,,54.400,,,1.06,,,0.02,,,0.02,,,m2,,fc996053-6ce2-4be3-a99f-42fb01b5d1ce,KBOB 2022 V4
"Elektrowärmepumpe Luft / Wasser (15kW, Neubau, JAZ 4.4, Strom CH) (KBOB44.009 )",KBOB2022-44.009-M,,,,MATERIAL,,142.000,,,0.90,,,0.49,,,0.04,,,m2,,D00BA00E-D63B-4109-ADC0-4D9A3367734D,KBOB 2022 V4
"Elektrowärmepumpe Luft / Wasser (15kW, Neubau, JAZ 4.4, Strom CH zertifiziert) (KBOB44.015 )",KBOB2022-44.015-M,,,,MATERIAL,,44.200,,,1.04,,,0.02,,,0.02,,,m2,,8873B601-8644-4FF4-B2CF-042546B8500D,KBOB 2022 V4
"Elektrowärmepumpe Erdsonden (15kW, Altbau, JAZ 3.2, Strom CH) (KBOB44.002 )",KBOB2022-44.002-M,,,,MATERIAL,,187.000,,,0.86,,,0.68,,,0.05,,,m2,,EC993875-136D-4857-B06E-BB581EA9DA43,KBOB 2022 V4
"Elektrowärmepumpe Erdsonden (15kW, Altbau, JAZ 3.2, Strom CH zertifiziert) (KBOB44.013 )",KBOB2022-44.013-M,,,,MATERIAL,,52.200,,,1.05,,,0.04,,,0.02,,,m2,,08C9C771-82D9-4925-8E06-39A4367A8370,KBOB 2022 V4
