Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath,vyzn.catalogue.lifeCycle
"91.128 Entsorgung, Baumaterialien, mineralisch, unspezifisch (KBOB.2022v5)","91.128 Entsorgung, Baumaterialien, mineralisch, unspezifisch (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,43,,,0.00,,,0.05,,,0.013,,,kg,,,4d884042-c49f-4e3d-956e-c7dba78e4558,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.129 Entsorgung, Dampfabzug (KBOB.2022v5)","91.129 Entsorgung, Dampfabzug (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,17700,,,0.04,,,1.31,,,17.100,,,Stk.,,,2cdb2aed-b63e-493d-bd30-b1acc2b9d7b8,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.130 Entsorgung, Küche, Massivholz, 16-teilig (KBOB.2022v5)","91.130 Entsorgung, Küche, Massivholz, 16-teilig (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,62600,,,2.49,,,38.30,,,51.300,,,Stk.,,,2283f375-c34e-4b4d-9439-a0e521c88060,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.131 Entsorgung, Küche, Metall, 16-teilig (KBOB.2022v5)","91.131 Entsorgung, Küche, Metall, 16-teilig (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,54300,,,0.26,,,5.13,,,51.000,,,Stk.,,,b3ded809-9658-4b32-aaf8-8135c648ec4f,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.132 Entsorgung, Küche, Spanplatte, 16-teilig (KBOB.2022v5)","91.132 Entsorgung, Küche, Spanplatte, 16-teilig (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,91000,,,3.53,,,56.20,,,74.800,,,Stk.,,,cb9debb6-596a-4165-8b4e-b1b8fa2ba75f,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.133 Entsorgung, Spüle Chromstahl (KBOB.2022v5)","91.133 Entsorgung, Spüle Chromstahl (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,5330,,,0.04,,,0.71,,,4.920,,,Stk.,,,1c10aa94-be14-4423-b831-60da23feb448,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.134 Entsorgung, Spüle Kompositwerkstoff (auf Gesteinsmehlbasis) (KBOB.2022v5)","91.134 Entsorgung, Spüle Kompositwerkstoff (auf Gesteinsmehlbasis) (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,595,,,0.03,,,0.74,,,0.178,,,Stk.,,,ba4d673f-f8a5-4eba-8e33-f62908f025a6,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.135 Entsorgung, Fassade, Pfosten-Riegel, Alu/Glas (KBOB.2022v5)","91.135 Entsorgung, Fassade, Pfosten-Riegel, Alu/Glas (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,15500,,,0.49,,,5.23,,,13.100,,,m2,,,40c388ca-1b6c-4cc4-850d-133764ad0fa8,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.136 Entsorgung, Baumaterialien, mineralisch, unspezifisch (KBOB.2022v5)","91.136 Entsorgung, Baumaterialien, mineralisch, unspezifisch (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,43,,,0.00,,,0.05,,,0.013,,,kg,,,4d884042-c49f-4e3d-956e-c7dba78e4558,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.137 Entsorgung, Faserzement (KBOB.2022v5)","91.137 Entsorgung, Faserzement (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,68,,,0.00,,,0.05,,,0.013,,,kg,,,54944784-a169-4fcd-9f95-272358f13be2,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.138 Entsorgung, Ziegel (KBOB.2022v5)","91.138 Entsorgung, Ziegel (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,36,,,0.00,,,0.05,,,0.013,,,kg,,,7e214a50-cc8b-4c38-ba43-5bf194b0c562,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.139 Entsorgung, Mörtel, Putze (KBOB.2022v5)","91.139 Entsorgung, Mörtel, Putze (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,43,,,0.00,,,0.05,,,0.013,,,kg,,,93a5e8bf-109a-4202-a206-d1cb0a850cfa,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.140 Entsorgung, Fassade, mineralisch, Kalkstein (KBOB.2022v5)","91.140 Entsorgung, Fassade, mineralisch, Kalkstein (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,3310,,,0.17,,,4.10,,,0.989,,,m2,,,d11f16cc-563a-4635-866b-e1d595c299fa,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.141 Entsorgung, Nichteisenmetalle (KBOB.2022v5)","91.141 Entsorgung, Nichteisenmetalle (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,20,,,0.00,,,0.03,,,0.008,,,kg,,,0021359e-e3f5-407e-9614-77dc5996b2a3,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.142 Entsorgung, Armierungsstahl (KBOB.2022v5)","91.142 Entsorgung, Armierungsstahl (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,20,,,0.00,,,0.05,,,0.012,,,kg,,,74342283-a09d-4b68-bf6d-84790d0d0e4a,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.143 Entsorgung, Stahl (KBOB.2022v5)","91.143 Entsorgung, Stahl (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,11,,,0.00,,,0.03,,,0.007,,,kg,,,28742fa8-00ad-430f-b715-57692bb97188,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
