Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
42.013 Blockheizkraftwerk Gas,KBOB2022-42.013,,,,MATERIAL_LIST,,134.000,,,0.01,,,0.49,,,0.11,,,m2,,E13EE05E-FD34-4FB5-A178-0FC4164A96F2,KBOB 2022 V4
42.014 Blockheizkraftwerk Biogas,KBOB2022-42.014,,,,MATERIAL_LIST,,83.000,,,0.02,,,0.17,,,0.06,,,m2,,6704A56E-25F3-4DD0-8890-EC2E2A0D4B9C,KBOB 2022 V4
42.016 Fernwärme Durchschnitt Netze CH,KBOB2022-42.016,,,,MATERIAL_LIST,,125.000,,,0.49,,,0.34,,,0.07,,,m2,,4EBAA5FE-7F18-443E-A05A-08185A6165D0,KBOB 2022 V4
"42.017 Fernwärme mit Nutzung Kehrichtwärme, Durchschnitt Netze CH",KBOB2022-42.017,,,,MATERIAL_LIST,,125.000,,,0.49,,,0.34,,,0.07,,,m2,,3A51918F-AB60-4CE7-A771-A10C3266684A,KBOB 2022 V4
43.013 Elektrospeicherofen (Strom CH),KBOB2022-43.013,,,,MATERIAL_LIST,,519.000,,,0.56,,,2.09,,,0.13,,,m2,,F6DCDEFA-AFE6-44CB-8B68-3527ABFDC011,KBOB 2022 V4
43.014 Elektrospeicherofen (Strom CH zertifiziert),KBOB2022-43.014,,,,MATERIAL_LIST,,86.800,,,1.16,,,0.04,,,0.02,,,m2,,DD16B81F-E498-48D6-9754-A1E95558BFFE,KBOB 2022 V4
43.001 Heizkessel Heizöl EL,KBOB2022-43.001,,,,MATERIAL_LIST,,437.000,,,0.01,,,1.31,,,0.34,,,m2,,b05c4b9b-b749-4f50-a92b-98713a494220,KBOB 2022 V4
43.002 Heizkessel Erdgas,KBOB2022-43.002,,,,MATERIAL_LIST,,279.000,,,0.00,,,1.06,,,0.23,,,m2,,958BA083-03C8-4336-BFC5-0DB5B6BC1B43,KBOB 2022 V4
43.003 Heizkessel Propan / Butan,KBOB2022-43.003,,,,MATERIAL_LIST,,363.000,,,0.01,,,1.20,,,0.29,,,m2,,555E9A89-95DF-4C98-BC55-879B4C7E4BFE,KBOB 2022 V4
43.004 Heizkessel Kohle Koks,KBOB2022-43.004,,,,MATERIAL_LIST,,885.000,,,0.02,,,1.99,,,0.64,,,Stk.,,17BF48A3-72AD-4EBB-A2DE-3256129F7031,KBOB 2022 V4
43.005 Heizkessel Kohle Brikett,KBOB2022-43.005,,,,MATERIAL_LIST,,1070.000,,,0.01,,,1.49,,,0.59,,,m2,,564C9F25-EE8A-4799-A049-6D26DF586F05,KBOB 2022 V4
43.006 Heizkessel Stückholz,KBOB2022-43.006,,,,MATERIAL_LIST,,239.000,,,1.35,,,0.07,,,0.03,,,m2,,adbada8c-108b-4869-a098-bc2cda5c5929,KBOB 2022 V4
43.010 Heizkessel Stückholz mit Partikelfilter,KBOB2022-43.010,,,,MATERIAL_LIST,,239.000,,,1.35,,,0.07,,,0.03,,,m2,,45766F6B-BC17-4725-B939-23AA76838736,KBOB 2022 V4
43.007 Heizkessel Holzschnitzel,KBOB2022-43.007,,,,MATERIAL_LIST,,164.000,,,1.33,,,0.06,,,0.02,,,m2,,2DEEC4B0-D3FE-4124-A08A-0DD398A65220,KBOB 2022 V4
43.011 Heizkessel Holzschnitzel mit Partikelfilter,KBOB2022-43.011,,,,MATERIAL_LIST,,164.000,,,1.33,,,0.06,,,0.02,,,m2,,27B5089E-6003-4920-991A-0BCC005B9434,KBOB 2022 V4
43.008 Heizkessel Pellets,KBOB2022-43.008,,,,MATERIAL_LIST,,142.000,,,1.28,,,0.17,,,0.04,,,kWp,,406B9ED4-C9C0-41E2-B945-7844C7313250,KBOB 2022 V4
43.012 Heizkessel Pellets mit Partikelfilter,KBOB2022-43.012,,,,MATERIAL_LIST,,142.000,,,1.28,,,0.17,,,0.04,,,kWp,,69524911-E277-4B29-827D-B8475E4D8C23,KBOB 2022 V4
43.009 Heizkessel Biogas,KBOB2022-43.009,,,,MATERIAL_LIST,,158.000,,,0.03,,,0.30,,,0.13,,,kWp,,288A84C2-129A-431D-B135-7F7A3F9D0CBD,KBOB 2022 V4
"44.001 Elektrowärmepumpe Luft / Wasser (15kW, Altbau, JAZ 2.7, Strom CH)",KBOB2022-44.001,,,,MATERIAL_LIST,,214.000,,,0.84,,,0.78,,,0.06,,,kWp,,276ac558-09e7-4a6d-b6d8-5643d08bcf9b,KBOB 2022 V4
"44.012 Elektrowärmepumpe Luft / Wasser (15kW, Altbau, JAZ 2.7, Strom CH zertifiziert)",KBOB2022-44.012,,,,MATERIAL_LIST,,54.400,,,1.06,,,0.02,,,0.02,,,m2,,fc996053-6ce2-4be3-a99f-42fb01b5d1ce,KBOB 2022 V4
"44.009 Elektrowärmepumpe Luft / Wasser (15kW, Neubau, JAZ 4.4, Strom CH)",KBOB2022-44.009,,,,MATERIAL_LIST,,142.000,,,0.90,,,0.49,,,0.04,,,m2,,D00BA00E-D63B-4109-ADC0-4D9A3367734D,KBOB 2022 V4
"44.015 Elektrowärmepumpe Luft / Wasser (15kW, Neubau, JAZ 4.4, Strom CH zertifiziert)",KBOB2022-44.015,,,,MATERIAL_LIST,,44.200,,,1.04,,,0.02,,,0.02,,,m2,,8873B601-8644-4FF4-B2CF-042546B8500D,KBOB 2022 V4
"44.002 Elektrowärmepumpe Erdsonden (15kW, Altbau, JAZ 3.2, Strom CH)",KBOB2022-44.002,,,,MATERIAL_LIST,,187.000,,,0.86,,,0.68,,,0.05,,,m2,,EC993875-136D-4857-B06E-BB581EA9DA43,KBOB 2022 V4
"44.013 Elektrowärmepumpe Erdsonden (15kW, Altbau, JAZ 3.2, Strom CH zertifiziert)",KBOB2022-44.013,,,,MATERIAL_LIST,,52.200,,,1.05,,,0.04,,,0.02,,,m2,,08C9C771-82D9-4925-8E06-39A4367A8370,KBOB 2022 V4
"44.010 Elektrowärmepumpe Erdsonden (15kW, Neubau, JAZ 5.3, Strom CH)",KBOB2022-44.010,,,,MATERIAL_LIST,,125.000,,,0.92,,,0.42,,,0.03,,,m2,,9304338C-8D4A-4EE3-B1A2-43977ADA18A4,KBOB 2022 V4
"44.016 Elektrowärmepumpe Erdsonden (15kW, Neubau, JAZ 5.3, Strom CH zertifiziert)",KBOB2022-44.016,,,,MATERIAL_LIST,,43.400,,,1.03,,,0.03,,,0.01,,,m2,,8A03A7D4-FB51-48D0-BA86-9D13EE70A0D9,KBOB 2022 V4
"44.003 Elektrowärmepumpe Grundwasser (15kW, Altbau, JAZ 3.2, Strom CH)",KBOB2022-44.003,,,,MATERIAL_LIST,,181.000,,,0.92,,,0.66,,,0.05,,,m2,,45BEA46B-47E9-425F-926C-AEB31CB4A09D,KBOB 2022 V4
"44.014 Elektrowärmepumpe Grundwasser (15kW, Altbau, JAZ 3.2, Strom CH zertifiziert)",KBOB2022-44.014,,,,MATERIAL_LIST,,46.300,,,1.11,,,0.02,,,0.01,,,m2,,38A83C73-92BD-492B-B435-97332A84863E,KBOB 2022 V4
"44.011 Elektrowärmepumpe Grundwasser (15kW, Neubau, JAZ 5.3, Strom CH)",KBOB2022-44.011,,,,MATERIAL_LIST,,118.000,,,0.92,,,0.40,,,0.03,,,m2,,DB2B00A9-DBF6-CA2A-BAC1-9BCCE4E4846A,KBOB 2022 V4
"44.017 Elektrowärmepumpe Grundwasser (15kW, Neubau, JAZ 5.3, Strom CH zertifiziert)",KBOB2022-44.017,,,,MATERIAL_LIST,,36.900,,,1.03,,,0.02,,,0.01,,,m2,,a3868d35-8eaf-47d0-be53-2f7e988a1cce,KBOB 2022 V4
44.004 Flachkollektor für Warmwasser EFH,KBOB2022-44.004,,,,MATERIAL_LIST,,121.000,,,1.33,,,0.24,,,0.04,,,m2,,3c956888-cdbf-42fa-8759-172ed1f7822d,KBOB 2022 V4
44.005 Flachkollektor für Raumheizung und Warmwasser EFH,KBOB2022-44.005,,,,MATERIAL_LIST,,110.000,,,1.61,,,0.20,,,0.04,,,m2,,B787C33A-9D88-414E-84DE-3E087E3639ED,KBOB 2022 V4
44.006 Flachkollektor für Warmwasser MFH,KBOB2022-44.006,,,,MATERIAL_LIST,,49.900,,,1.15,,,0.08,,,0.02,,,kWp,,8FE3FD69-2400-4DC4-933B-E91CDE601165,KBOB 2022 V4
44.007 Röhrenkollektor für Raumheizung und Warmwasser EFH,KBOB2022-44.007,,,,MATERIAL_LIST,,93.500,,,1.54,,,0.18,,,0.03,,,kWp,,8B49329A-8573-47FC-8D1A-9F2E4640C4E6,KBOB 2022 V4
"44.008 Kleinblockheizkraftwerk, Erdgas",KBOB2022-44.008,,,,MATERIAL_LIST,,131.000,,,0.00,,,0.47,,,0.11,,,kWp,,1300707C-F4F2-4FDC-AF3B-E31F5840F18E,KBOB 2022 V4
44.018 Solarthermieanlage Schrägdach mit Erdsondenregeneration,KBOB2022-44.018,,,,MATERIAL_LIST,,38.900,,,1.14,,,0.06,,,0.01,,,kWp,,805e0a9f-a660-4446-b7df-f9c3b43824c2,KBOB 2022 V4
44.019 Solarthermieanlage Schrägdach mit Warmwasserspeicher,KBOB2022-44.019,,,,MATERIAL_LIST,,45.100,,,1.14,,,0.07,,,0.02,,,kWp,,1A0D933D-B136-4441-B98F-6E6FFD1DFDD8,KBOB 2022 V4
45.001 Atomkraftwerk,KBOB2022-45.001,,,,MATERIAL_LIST,,674.000,,,0.01,,,4.21,,,0.02,,,kWp,,B6F7B71D-25CE-45F6-BA5A-1A786AC69E0B,KBOB 2022 V4
45.002 Erdgaskombikraftwerk GuD,KBOB2022-45.002,,,,MATERIAL_LIST,,621.000,,,0.01,,,2.22,,,0.48,,,kWp,,A5A3BA1D-7F7F-4677-9E1C-3545B9DF79BA,KBOB 2022 V4
45.024 Erdgaskraftwerk,KBOB2022-45.024,,,,MATERIAL_LIST,,944.000,,,0.01,,,3.37,,,0.74,,,kWp,,D3586070-8058-4A67-BC89-68508822DA21,KBOB 2022 V4
45.023 Braunkohlekraftwerk,KBOB2022-45.023,,,,MATERIAL_LIST,,1610.000,,,0.01,,,3.93,,,1.36,,,kWp,,84E2D4F6-D61F-4EDF-9D13-7DA1543A7887,KBOB 2022 V4
45.003 Steinkohlekraftwerk,KBOB2022-45.003,,,,MATERIAL_LIST,,1530.000,,,0.04,,,3.87,,,1.23,,,,,FA96A840-32DF-4C9A-935F-19037F653A62,KBOB 2022 V4
45.004 Kraftwerk Schweröl,KBOB2022-45.004,,,,MATERIAL_LIST,,1570.000,,,0.02,,,3.73,,,1.07,,,,,985B3DC3-846D-49CE-9067-8F50B4FE70D7,KBOB 2022 V4
45.005 Kehrichtverbrennung,KBOB2022-45.005,,,,MATERIAL_LIST,,55.600,,,0.00,,,0.01,,,0.01,,,,,3A9DAB99-F63E-4DC7-9D95-2789F2A46143,KBOB 2022 V4
45.006 Heizkraftwerk Holz,KBOB2022-45.006,,,,MATERIAL_LIST,,172.000,,,1.93,,,0.13,,,0.04,,,,,BE39AA2B-67C3-4306-AD5D-5261E43D632D,KBOB 2022 V4
45.007 Blockheizkraftwerk Diesel,KBOB2022-45.007,,,,MATERIAL_LIST,,1180.000,,,0.02,,,3.21,,,0.84,,,,,76D9CFC6-6174-4644-829E-1020C95D5322,KBOB 2022 V4
45.008 Blockheizkraftwerk Gas,KBOB2022-45.008,,,,MATERIAL_LIST,,825.000,,,0.01,,,2.83,,,0.65,,,,,D4AB5F70-61BE-4668-8A2C-FF1C755A1728,KBOB 2022 V4
45.009 Blockheizkraftwerk Biogas,KBOB2022-45.009,,,,MATERIAL_LIST,,509.000,,,0.08,,,0.82,,,0.36,,,,,9BD4C9E4-4499-4215-9215-2EF12370ACE6,KBOB 2022 V4
45.011 Photovoltaik,KBOB2022-45.011,,,,MATERIAL_LIST,,151.000,,,1.20,,,0.16,,,0.05,,,,,412F0DEF-2F16-4D81-95CF-2A7394086B28,KBOB 2022 V4
45.012 Photovoltaik Schrägdach,KBOB2022-45.012,,,,MATERIAL_LIST,,145.000,,,1.20,,,0.15,,,0.04,,,,,A8D1862B-6EEC-48B6-83BC-8EFACE342122,KBOB 2022 V4
45.013 Photovoltaik Flachdach,KBOB2022-45.013,,,,MATERIAL_LIST,,156.000,,,1.20,,,0.17,,,0.05,,,,,868CB13D-7EF0-454B-B4FD-AE2B04538206,KBOB 2022 V4
45.014 Photovoltaik Fassade,KBOB2022-45.014,,,,MATERIAL_LIST,,222.000,,,1.21,,,0.25,,,0.07,,,,,324E5DE0-FEB1-49C3-9188-F1AA0E119514,KBOB 2022 V4
45.027 Photovoltaik Schrägdach Mono-Si,KBOB2022-45.027,,,,MATERIAL_LIST,,177.000,,,1.20,,,0.19,,,0.05,,,,,333331BA-98CA-49BD-887A-D65AA4D5B2C4,KBOB 2022 V4
45.028 Photovoltaik Schrägdach Multi-Si,KBOB2022-45.028,,,,MATERIAL_LIST,,179.000,,,1.21,,,0.19,,,0.05,,,,,3B956811-9D40-452C-BAC2-FBA122630C43,KBOB 2022 V4
45.029 Photovoltaik Schrägdach CdTe,KBOB2022-45.029,,,,MATERIAL_LIST,,144.000,,,1.20,,,0.14,,,0.04,,,,,B0F22D3F-709D-408F-9ACA-1533FA4C7F45,KBOB 2022 V4
45.030 Photovoltaik Schrägdach CIS,KBOB2022-45.030,,,,MATERIAL_LIST,,164.000,,,1.20,,,0.19,,,0.05,,,,,E68F96C7-984A-47B5-B17C-B2806BD1CF1C,KBOB 2022 V4
45.015 Windkraft,KBOB2022-45.015,,,,MATERIAL_LIST,,110.000,,,1.20,,,0.09,,,0.03,,,,,223F00DA-C2D9-4971-879F-F391648A0155,KBOB 2022 V4
45.016 Wasserkraft,KBOB2022-45.016,,,,MATERIAL_LIST,,76.800,,,1.17,,,0.02,,,0.01,,,,,382D5231-E4CF-42D6-B935-D41BA653E3EE,KBOB 2022 V4
45.017 Pumpspeicherung,KBOB2022-45.017,,,,MATERIAL_LIST,,665.000,,,0.72,,,2.71,,,0.17,,,,,297C8AF9-6B6F-47A2-9F51-A0D37EFCB892,KBOB 2022 V4
45.018 Heizkraftwerk Geothermie,KBOB2022-45.018,,,,MATERIAL_LIST,,143.000,,,3.17,,,0.19,,,0.03,,,,,5905B6AD-722F-40CB-9877-57D366B4ABF4,KBOB 2022 V4
45.020 CH-Verbrauchermix,KBOB2022-45.020,,,,MATERIAL_LIST,,513.000,,,0.56,,,2.08,,,0.13,,,,,d3cdab2e-988a-4dcf-a9a9-00bda1cfe0ee,KBOB 2022 V4
45.019 CH-Produktionsmix,KBOB2022-45.019,,,,MATERIAL_LIST,,329.000,,,0.68,,,1.68,,,0.03,,,,,33d095f4-9d1b-4bbb-bd49-2bc99388facd,KBOB 2022 V4
45.022 Mix Stromprodukte aus erneuerbaren Energien,KBOB2022-45.022,,,,MATERIAL_LIST,,81.600,,,1.16,,,0.03,,,0.02,,,,,e87386b1-baac-4021-8cdb-e9588c9cfeaa,KBOB 2022 V4
