vyzn.context.space.heated,vyzn.context.existing,vyzn.products.ch.KBOB2022.BiogenicCarbon,vyzn.reference.GrossArea,vyzn.products.ch.eBKPh.Section,vyzn.reference.ElementID,vyzn.context.ElementName,vyzn.reference.ElementType,vyzn.products.ch.KBOB2022.GreyEnergyTotal,vyzn.products.ch.KBOB2022.GHGEmissionsTotal,vyzn.products.ch.KBOB2022.UBPTotal,vyzn.source.Floor,vyzn.context.group,vyzn.reference.GUID,vyzn.source.GUID,vyzn.products.COSRefUnit,vyzn.products.ch.minergie.eco.ComponentClassification,vyzn.context.ch.minergie.classification,vyzn.context.ch.minergie.eco.Classification,vyzn.reference.NetArea,vyzn.products.ch.KBOB2022.LCARefUnit,vyzn.products.ch.KBOB2022.RenewableEnergyDisposal,vyzn.products.ch.KBOB2022.RenewableEnergyProduction,vyzn.products.ch.KBOB2022.RenewableEnergyTotal,vyzn.products.ch.KBOB2022.GreyEnergyDisposal,vyzn.products.ch.KBOB2022.GreyEnergyProduction,vyzn.reference.RoomArea,vyzn.reference.RoomHeight,vyzn.context.ch.sia.2040.2017.Classification,vyzn.context.ch.SIA380.2015.Classification,vyzn.context.ch.sia380.1.2016.Classification,vyzn.context.ch.SIA416.2003.Classification,vyzn.products.ch.KBOB2022.GHGEmissionsDisposal,vyzn.products.ch.KBOB2022.GHGEmissionsProduction,vyzn.products.ch.KBOB2022.UBPDisposal,vyzn.products.ch.KBOB2022.UBPProduction
,,0,,C 2.2,3G4Qk9At58$ges7N3vr$wT,IW2de Innenwand nichttragend,WAND,4.325291666666667,1.2920499999999997,1879.4416666666664,OG2,IW2de Innenwand nichttragend,3G4Qk9At58$ges7N3vr$wT,3G4Qk9At58$ges7N3vr$wT,,interiorComponent,,,9.10057769999996,m2/Jahr,0.01024235,0.41959250000000003,0.4300616666666667,0.24763166666666667,4.07195,,,,,,,0.06333083333333334,1.2307,204.10916666666668,1673.7666666666667
,,0,,C 2.2,31m7rQQH18xu6XjAmMe0PH,IW2de Innenwand nichttragend,WAND,4.325291666666667,1.2920499999999997,1879.4416666666664,OG1,IW2de Innenwand nichttragend,31m7rQQH18xu6XjAmMe0PH,31m7rQQH18xu6XjAmMe0PH,,interiorComponent,,,13.9347936000001,m2/Jahr,0.01024235,0.41959250000000003,0.4300616666666667,0.24763166666666667,4.07195,,,,,,,0.06333083333333334,1.2307,204.10916666666668,1673.7666666666667
,,0.3332414270833334,,C 2.1,1JVMGt1Jb5_Oa9fkPFCUAd,AWueT2 Holzfassade hinterlueftet,WAND,2.582309260416667,0.5620732187499999,1055.7289270833335,OG2,AWueT2 Holzfassade hinterlueftet,1JVMGt1Jb5_Oa9fkPFCUAd,1JVMGt1Jb5_Oa9fkPFCUAd,,exteriorWallAboveGround,,,34.6120000000002,m2/Jahr,0.008794987083333332,5.029650920833332,5.040352741666667,0.13654555000000002,2.4451778437500002,,,,,,,0.07829898125000001,0.4839893583333333,147.17838437499998,909.2267291666667
,,0,,C 2.2,18wuU7DB50s9l0wzCbld5E,IW2de Innenwand nichttragend,WAND,4.325291666666667,1.2920499999999997,1879.4416666666664,OG1,IW2de Innenwand nichttragend,18wuU7DB50s9l0wzCbld5E,18wuU7DB50s9l0wzCbld5E,,interiorComponent,,,13.4316,m2/Jahr,0.01024235,0.41959250000000003,0.4300616666666667,0.24763166666666667,4.07195,,,,,,,0.06333083333333334,1.2307,204.10916666666668,1673.7666666666667
,,0.3332414270833334,,C 2.1,33Ztl5FBf2jATGAdhHUrzO,AWueT2 Holzfassade hinterlueftet,WAND,2.582309260416667,0.5620732187499999,1055.7289270833335,OG1,AWueT2 Holzfassade hinterlueftet,33Ztl5FBf2jATGAdhHUrzO,33Ztl5FBf2jATGAdhHUrzO,,exteriorWallAboveGround,,,34.6120000000001,m2/Jahr,0.008794987083333332,5.029650920833332,5.040352741666667,0.13654555000000002,2.4451778437500002,,,,,,,0.07829898125000001,0.4839893583333333,147.17838437499998,909.2267291666667
,,0,,C 2.2,35fp5SdOX1j9SrrZnkMYz6,IW1de Innenwand tragend,WAND,3.5621458333333336,1.372464583333333,2229.716666666667,OG2,IW1de Innenwand tragend,35fp5SdOX1j9SrrZnkMYz6,35fp5SdOX1j9SrrZnkMYz6,,interiorComponent,,,25.0081947,m2/Jahr,0.020353599999999996,0.2955008333333333,0.31572,0.5427664583333333,3.0129750000000004,,,,,,,0.13659291666666667,1.2385766666666664,376.2174999999999,1855.6458333333335
,,0,,C 2.2,3$znAZTfX9jxmBUBsoEV_h,IW1de Innenwand tragend,WAND,3.5621458333333336,1.372464583333333,2229.716666666667,UG,IW1de Innenwand tragend,3$znAZTfX9jxmBUBsoEV_h,3$znAZTfX9jxmBUBsoEV_h,,interiorComponent,,,22.592988,m2/Jahr,0.020353599999999996,0.2955008333333333,0.31572,0.5427664583333333,3.0129750000000004,,,,,,,0.13659291666666667,1.2385766666666664,376.2174999999999,1855.6458333333335
,,0,,C 2.1,3fVcfbU7X6teqkXM1laiu4,AWuT1 Perimeterdaemmung,WAND,4.809216666666666,1.6710150000000001,2472.453333333334,UG,AWuT1 Perimeterdaemmung,3fVcfbU7X6teqkXM1laiu4,3fVcfbU7X6teqkXM1laiu4,,exteriorWallAboveGround,,,81,m2/Jahr,0.016236033333333334,0.3291483333333334,0.3451016666666667,0.4230145,4.381286666666667,,,,,,,0.40860633333333335,1.2647346666666668,601.2533333333333,1872.5866666666668
,,0,,C 2.2,3Pvd5ePoH058TbGKJpxLDC,IW2de Innenwand nichttragend,WAND,4.325291666666667,1.2920499999999997,1879.4416666666664,OG2,IW2de Innenwand nichttragend,3Pvd5ePoH058TbGKJpxLDC,3Pvd5ePoH058TbGKJpxLDC,,interiorComponent,,,34.1087724,m2/Jahr,0.01024235,0.41959250000000003,0.4300616666666667,0.24763166666666667,4.07195,,,,,,,0.06333083333333334,1.2307,204.10916666666668,1673.7666666666667
,,0,,C 2.2,1wH8Z_Vt1FXR8KWpqUNxyk,IW2de Innenwand nichttragend,WAND,4.325291666666667,1.2920499999999997,1879.4416666666664,OG2,IW2de Innenwand nichttragend,1wH8Z_Vt1FXR8KWpqUNxyk,1wH8Z_Vt1FXR8KWpqUNxyk,,interiorComponent,,,13.4897607,m2/Jahr,0.01024235,0.41959250000000003,0.4300616666666667,0.24763166666666667,4.07195,,,,,,,0.06333083333333334,1.2307,204.10916666666668,1673.7666666666667
,,0,,C 2.2,3gbao_NaT0Dv0qYGibL0B6,IW2de Innenwand nichttragend,WAND,4.325291666666667,1.2920499999999997,1879.4416666666664,EG,IW2de Innenwand nichttragend,3gbao_NaT0Dv0qYGibL0B6,3gbao_NaT0Dv0qYGibL0B6,,interiorComponent,,,13.5626400000001,m2/Jahr,0.01024235,0.41959250000000003,0.4300616666666667,0.24763166666666667,4.07195,,,,,,,0.06333083333333334,1.2307,204.10916666666668,1673.7666666666667
,,0,,C 2.2,0xakgwcyTFahjb0Ug2a_Kf,IW2de Innenwand nichttragend,WAND,4.325291666666667,1.2920499999999997,1879.4416666666664,EG,IW2de Innenwand nichttragend,0xakgwcyTFahjb0Ug2a_Kf,0xakgwcyTFahjb0Ug2a_Kf,,interiorComponent,,,13.5626400000001,m2/Jahr,0.01024235,0.41959250000000003,0.4300616666666667,0.24763166666666667,4.07195,,,,,,,0.06333083333333334,1.2307,204.10916666666668,1673.7666666666667
,,0,,C 2.2,3coijHrQXE6BozrA3GoPXA,IW2de Innenwand nichttragend,WAND,4.325291666666667,1.2920499999999997,1879.4416666666664,OG1,IW2de Innenwand nichttragend,3coijHrQXE6BozrA3GoPXA,3coijHrQXE6BozrA3GoPXA,,interiorComponent,,,13.9347936000001,m2/Jahr,0.01024235,0.41959250000000003,0.4300616666666667,0.24763166666666667,4.07195,,,,,,,0.06333083333333334,1.2307,204.10916666666668,1673.7666666666667
,,0,,C 2.2,3kMq54yA1A4BkeMBr4P9E6,IW2de Innenwand nichttragend,WAND,4.325291666666667,1.2920499999999997,1879.4416666666664,OG1,IW2de Innenwand nichttragend,3kMq54yA1A4BkeMBr4P9E6,3kMq54yA1A4BkeMBr4P9E6,,interiorComponent,,,13.9347936,m2/Jahr,0.01024235,0.41959250000000003,0.4300616666666667,0.24763166666666667,4.07195,,,,,,,0.06333083333333334,1.2307,204.10916666666668,1673.7666666666667
,,0,,C 2.2,0VN582I5P9DA_Sz2R3WLLn,IW2de Innenwand nichttragend,WAND,4.325291666666667,1.2920499999999997,1879.4416666666664,EG,IW2de Innenwand nichttragend,0VN582I5P9DA_Sz2R3WLLn,0VN582I5P9DA_Sz2R3WLLn,,interiorComponent,,,13.4316,m2/Jahr,0.01024235,0.41959250000000003,0.4300616666666667,0.24763166666666667,4.07195,,,,,,,0.06333083333333334,1.2307,204.10916666666668,1673.7666666666667
