Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath
13.003 Polypropylen (PP) (KBOB.2022v5_r),13.003 Polypropylen (PP) (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,910,"6,050.000000","3,600.000000","2,450.000000",0.428000,0.413000,0.014300,22.700000,22.500000,0.209000,4.780000,2.400000,2.370000,kg,0.000000,92B2EFB8-9F95-47EC-963D-114CBE430246,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
13.004 Polyvinylchlorid (PVC) (KBOB.2022v5_r),13.004 Polyvinylchlorid (PVC) (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,1390,"6,240.000000","3,880.000000","2,370.000000",0.646000,0.543000,0.103000,19.500000,18.400000,1.100000,4.490000,2.380000,2.100000,kg,0.000000,5A6449C2-62A0-4A42-BF6D-F1E33F5F9480,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"14.002 Anstrich, lösemittelverdünnbar, 2 Anstriche (KBOB.2022v5_r)","14.002 Anstrich, lösemittelverdünnbar, 2 Anstriche (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,0,"2,260.000000","2,190.000000",70.700000,0.452000,0.451000,0.000674,6.570000,6.550000,0.016700,0.975000,0.919000,0.056200,m2,0.000000,07DD2F56-133A-4FBF-A39B-1D374248EB2A,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"14.001 Anstrich, wasserverdünnbar, 2 Anstriche (KBOB.2022v5_r)","14.001 Anstrich, wasserverdünnbar, 2 Anstriche (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,0,"1,220.000000","1,150.000000",70.700000,0.143000,0.143000,0.000674,4.170000,4.150000,0.016700,0.701000,0.645000,0.056200,m2,0.000000,10ACA0B7-B75D-4F51-A3AB-976B923ACA8A,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"14.003 Bitumenemulsion, 1 Anstrich (KBOB.2022v5_r)","14.003 Bitumenemulsion, 1 Anstrich (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,0,428.000000,369.000000,59.000000,0.017300,0.016700,0.000562,1.850000,1.840000,0.014000,0.181000,0.134000,0.046800,m2,0.000000,1165EF5A-E1A2-4C0D-9307-622DEE107999,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"14.004 Emaillieren, Metall (KBOB.2022v5_r)","14.004 Emaillieren, Metall (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,,"16,400.000000","16,400.000000",0.000000,4.160000,4.160000,0.000000,43.500000,43.500000,0.000000,8.110000,8.110000,0.000000,m2,0.000000,F45B12F5-FF80-528A-2C76-A6DABD38F684,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"14.005 Pulverbeschichten, Aluminium (KBOB.2022v5_r)","14.005 Pulverbeschichten, Aluminium (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,,"6,260.000000","6,260.000000",0.000000,0.599000,0.599000,0.000000,16.600000,16.600000,0.000000,3.640000,3.640000,0.000000,m2,0.000000,68569EAE-A2FA-E096-D678-497AB362BCCF,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"14.006 Pulverbeschichten, Stahl (KBOB.2022v5_r)","14.006 Pulverbeschichten, Stahl (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,,"6,760.000000","6,760.000000",0.000000,0.721000,0.721000,0.000000,21.100000,21.100000,0.000000,4.380000,4.380000,0.000000,m2,0.000000,E9266136-2E91-997B-5E48-CA88AB77279C,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"14.007 Verchromen, Stahl (KBOB.2022v5_r)","14.007 Verchromen, Stahl (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,,"6,320.000000","6,320.000000",0.000000,0.876000,0.876000,0.000000,4.450000,4.450000,0.000000,0.609000,0.609000,0.000000,m2,0.000000,3FDD883B-8EDA-4735-987C-5D7CF46F1004,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"14.008 Verzinken, Stahl (KBOB.2022v5_r)","14.008 Verzinken, Stahl (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,,"29,500.000000","29,500.000000",0.000000,2.650000,2.650000,0.000000,25.500000,25.500000,0.000000,6.090000,6.090000,0.000000,m2,0.000000,AAF77F9A-FE78-41CD-BAD5-16DAA6238CC2,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
