Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath
10.005 Polystyrol extrudiert (XPS) (KBOB.2022v5_r),10.005 Polystyrol extrudiert (XPS) (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,32,19700,16500,3280,0.671,0.659,0.0117,29.4,29.2,0.202,14.4,11.3,3.09,kg,0,604F2ECA-F888-49C4-9FA5-C206BC37E889,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"10.005.01 Polystyrol extrudiert, SwissporXPS (KBOB.2022v5_r)","10.005.01 Polystyrol extrudiert, SwissporXPS (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,34.3,8880,5600,3280,1.37,1.36,0.0117,25.5,25.3,0.202,6.96,3.87,3.09,kg,0,ACF64203-B038-4EAF-B297-53D8C48F8A42,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
10.006 Polyurethan (PUR/PIR) (KBOB.2022v5_r),10.006 Polyurethan (PUR/PIR) (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,30,10400,7490,2920,0.83,0.813,0.0176,30.1,29.5,0.682,7.44,4.79,2.65,kg,0,D23B8D09-6CCC-42B7-B54D-B67BEEEC54DD,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"10.006.01 Polyurethan, SwissporPIR (KBOB.2022v5_r)","10.006.01 Polyurethan, SwissporPIR (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,30,9830,6910,2920,1.03,1.02,0.0176,28,27.3,0.682,7.08,4.43,2.65,kg,0,575A32F0-D99A-4ADE-A360-8E770639A5E3,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
10.007 Schaumglas (KBOB.2022v5_r),10.007 Schaumglas (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,132,1760,1710,42.5,1.88,1.88,0.00221,5.16,5.11,0.0526,1.19,1.17,0.0127,kg,0,328C6FA7-DA92-462A-9CC7-6D0DB5CCE2D3,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"10.007.01 Schaumglas, GLAPOR (KBOB.2022v5_r)","10.007.01 Schaumglas, GLAPOR (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,120,1020,979,42.5,0.206,0.203,0.00221,3.15,3.1,0.0526,0.707,0.694,0.0127,kg,0,6bbf201f-48e8-4866-9dff-f6f2e3105ec6,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
10.013 Schaumglasschotter (KBOB.2022v5_r),10.013 Schaumglasschotter (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,137,499,457,42.5,0.262,0.26,0.00221,1.74,1.69,0.0526,0.16,0.148,0.0127,kg,0,BEB5B222-85E0-44DB-891D-851DF16EEA31,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"10.013.01 Schaumglasschotter, Misapor (KBOB.2022v5_r)","10.013.01 Schaumglasschotter, Misapor (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,137,434,392,42.5,0.246,0.243,0.00221,1.55,1.5,0.0526,0.132,0.12,0.0127,kg,0,62F9139A-7A1D-40DD-90F8-38B52AF993C4,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
10.008 Steinwolle (KBOB.2022v5_r),10.008 Steinwolle (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,96,1360,1240,116,1.65,1.64,0.0107,3.23,3.1,0.133,0.816,0.757,0.0592,kg,0,A3BBA042-97AF-4B5C-AF00-E049CEF1A557,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"10.008.01 Steinwolle, Flumroc (KBOB.2022v5_r)","10.008.01 Steinwolle, Flumroc (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,48,1100,982,116,2.01,2,0.0107,2.55,2.41,0.133,0.617,0.558,0.0592,kg,0,194F45E4-A08A-427B-A490-999934D5D610,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
