Name,ProductKey,vyzn.catalogue.SourceENV,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,categoryPath
06.003 Armierungsstahl (KBOB.2016v1),06.003 Armierungsstahl (KBOB.2016v1),KBOB 2016 v1,MATERIAL,7850.000,kg,2860.000,2860.000,0.000,0.200,0.200,0.000,3.600,3.600,0.000,0.682,0.682,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
06.004 Chromnickelstahlblech 18/8 blank (KBOB.2016v1),06.004 Chromnickelstahlblech 18/8 blank (KBOB.2016v1),KBOB 2016 v1,MATERIAL,7900.000,kg,6890.000,6890.000,0.000,2.400,2.400,0.000,15.300,15.300,0.000,3.760,3.760,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
06.005 Chromnickelstahlblech 18/8 verzinnt (KBOB.2016v1),06.005 Chromnickelstahlblech 18/8 verzinnt (KBOB.2016v1),KBOB 2016 v1,MATERIAL,7900.000,kg,10700.000,10700.000,0.000,2.700,2.700,0.000,23.000,23.000,0.000,5.450,5.450,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"06.002.01 Aluminiumprofil, blank, 80% Recyclinganteil, WICONA (KBOB.2016v1)","06.002.01 Aluminiumprofil, blank, 80% Recyclinganteil, WICONA (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,2690.000,kg,4120.000,4120.000,0.000,3.400,3.400,0.000,13.600,13.600,0.000,2.940,2.940,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
06.006 Chromstahlblech blank (KBOB.2016v1),06.006 Chromstahlblech blank (KBOB.2016v1),KBOB 2016 v1,MATERIAL,7700.000,kg,5250.000,5250.000,0.000,0.900,0.900,0.000,9.500,9.500,0.000,2.240,2.240,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
06.007 Chromstahlblech verzinnt (KBOB.2016v1),06.007 Chromstahlblech verzinnt (KBOB.2016v1),KBOB 2016 v1,MATERIAL,7700.000,kg,8990.000,8990.000,0.000,1.200,1.200,0.000,17.200,17.200,0.000,3.930,3.930,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"06.008 Kupferblech, blank (KBOB.2016v1)","06.008 Kupferblech, blank (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,8900.000,kg,51500.000,51500.000,0.000,1.700,1.700,0.000,9.300,9.300,0.000,2.190,2.190,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
06.009 Messing-/Baubronzeblech (KBOB.2016v1),06.009 Messing-/Baubronzeblech (KBOB.2016v1),KBOB 2016 v1,MATERIAL,8300.000,kg,47000.000,47000.000,0.000,1.900,1.900,0.000,11.500,11.500,0.000,2.710,2.710,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"06.010 Stahlblech, blank (KBOB.2016v1)","06.010 Stahlblech, blank (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,7850.000,kg,3570.000,3570.000,0.000,0.300,0.300,0.000,7.800,7.800,0.000,1.830,1.830,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"06.011 Stahlblech, verzinkt (KBOB.2016v1)","06.011 Stahlblech, verzinkt (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,7850.000,kg,16100.000,16100.000,0.000,1.100,1.100,0.000,15.700,15.700,0.000,3.510,3.510,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"06.012 Stahlprofil, blank (KBOB.2016v1)","06.012 Stahlprofil, blank (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,7850.000,kg,1000.000,1000.000,0.000,0.300,0.300,0.000,3.500,3.500,0.000,0.734,0.734,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
06.013 Titanzinkblech (KBOB.2016v1),06.013 Titanzinkblech (KBOB.2016v1),KBOB 2016 v1,MATERIAL,7200.000,kg,35800.000,35800.000,0.000,2.600,2.600,0.000,17.400,17.400,0.000,4.040,4.040,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
06.014 Blei (KBOB.2016v1),06.014 Blei (KBOB.2016v1),KBOB 2016 v1,MATERIAL,11340.000,kg,6530.000,6530.000,0.000,0.200,0.200,0.000,4.000,4.000,0.000,1.040,1.040,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.001 3-Schicht Massivholzplatte, PVAc-gebunden (KBOB.2016v1)","07.001 3-Schicht Massivholzplatte, PVAc-gebunden (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,470.000,kg,1360.000,1280.000,79.700,9.600,9.600,0.001,3.000,2.940,0.053,0.523,0.412,0.111,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.002 Brettschichtholz, UF-gebunden, Trockenbereich (KBOB.2016v1)","07.002 Brettschichtholz, UF-gebunden, Trockenbereich (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,470.000,kg,995.000,908.000,86.900,8.700,8.700,0.001,2.240,2.180,0.058,0.446,0.326,0.121,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.003 Brettschichtholz, MF-gebunden, Feuchtbereich (KBOB.2016v1)","07.003 Brettschichtholz, MF-gebunden, Feuchtbereich (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,470.000,kg,1040.000,953.000,86.900,8.700,8.700,0.001,2.450,2.390,0.058,0.485,0.365,0.121,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
07.004 Hartfaserplatte (KBOB.2016v1),07.004 Hartfaserplatte (KBOB.2016v1),KBOB 2016 v1,MATERIAL,955.000,kg,1310.000,1220.000,91.100,7.000,7.000,0.001,4.200,4.100,0.061,1.160,1.040,0.126,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.005 Holzwolle-Leichtbauplatte, zementgebunden (KBOB.2016v1)","07.005 Holzwolle-Leichtbauplatte, zementgebunden (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,400.000,kg,561.000,508.000,52.800,2.000,2.000,0.001,1.340,1.260,0.077,0.554,0.537,0.017,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.003.01 Brettschichtholz, MF-gebunden, Feuchtbereich, Produktion Schweiz (KBOB.2016v1)","07.003.01 Brettschichtholz, MF-gebunden, Feuchtbereich, Produktion Schweiz (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,470.000,kg,1010.000,921.000,87.000,8.600,8.600,0.001,2.400,2.300,0.058,0.440,0.315,0.120,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.006 Massivholz Buche / Eiche, luftgetrocknet, rau (KBOB.2016v1)","07.006 Massivholz Buche / Eiche, luftgetrocknet, rau (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,705.000,kg,311.000,286.000,24.700,5.400,5.400,0.001,0.480,0.440,0.031,0.093,0.084,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.002.01 Brettschichtholz, UF-gebunden, Trockenbereich, Produktion Schweiz (KBOB.2016v1)","07.002.01 Brettschichtholz, UF-gebunden, Trockenbereich, Produktion Schweiz (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,470.000,kg,963.000,876.000,87.000,8.600,8.600,0.001,2.200,2.100,0.058,0.400,0.276,0.120,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.006.01 Massivholz Buche / Eiche, luftgetrocknet, rau, Produktion Schweiz (KBOB.2016v1)","07.006.01 Massivholz Buche / Eiche, luftgetrocknet, rau, Produktion Schweiz (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,705.000,kg,292.000,267.000,25.000,5.500,5.500,0.001,0.400,0.400,0.031,0.070,0.058,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.007 Massivholz Buche / Eiche, kammergetrocknet, rau (KBOB.2016v1)","07.007 Massivholz Buche / Eiche, kammergetrocknet, rau (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,675.000,kg,379.000,352.000,27.000,6.200,6.200,0.001,0.580,0.540,0.034,0.109,0.099,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.008 Massivholz Buche / Eiche, kammergetrocknet, gehobelt (KBOB.2016v1)","07.008 Massivholz Buche / Eiche, kammergetrocknet, gehobelt (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,675.000,kg,420.000,393.000,27.000,6.300,6.300,0.001,0.690,0.650,0.034,0.126,0.116,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.008.01 Massivholz Buche / Eiche, kammergetrocknet, gehobelt, Produktion Schweiz (KBOB.2016v1)","07.008.01 Massivholz Buche / Eiche, kammergetrocknet, gehobelt, Produktion Schweiz (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,675.000,kg,399.000,372.000,27.000,6.500,6.500,0.001,0.600,0.600,0.034,0.090,0.081,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.009 Massivholz Fichte / Tanne / Lärche, luftgetrocknet, rau (KBOB.2016v1)","07.009 Massivholz Fichte / Tanne / Lärche, luftgetrocknet, rau (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,485.000,kg,347.000,322.000,24.700,5.500,5.500,0.001,0.500,0.470,0.031,0.101,0.091,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.007.01 Massivholz Buche / Eiche, kammergetrocknet, rau, Produktion Schweiz (KBOB.2016v1)","07.007.01 Massivholz Buche / Eiche, kammergetrocknet, rau, Produktion Schweiz (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,675.000,kg,360.000,333.000,27.000,6.300,6.300,0.001,0.500,0.500,0.034,0.080,0.069,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.009.01 Massivholz Fichte / Tanne / Lärche, luftgetrocknet, rau, Produktion Schweiz (KBOB.2016v1)","07.009.01 Massivholz Fichte / Tanne / Lärche, luftgetrocknet, rau, Produktion Schweiz (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,485.000,kg,333.000,308.000,25.000,5.400,5.400,0.001,0.500,0.400,0.031,0.090,0.078,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.010 Massivholz Fichte / Tanne / Lärche, luftgetr., gehobelt (KBOB.2016v1)","07.010 Massivholz Fichte / Tanne / Lärche, luftgetr., gehobelt (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,485.000,kg,424.000,399.000,24.700,5.800,5.800,0.001,0.690,0.660,0.031,0.125,0.116,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.010.01 Massivholz Fichte / Tanne / Lärche, luftgetr., gehobelt, Produktion Schweiz (KBOB.2016v1)","07.010.01 Massivholz Fichte / Tanne / Lärche, luftgetr., gehobelt, Produktion Schweiz (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,485.000,kg,407.000,383.000,25.000,5.700,5.700,0.001,0.600,0.600,0.031,0.110,0.097,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.011 Massivholz Fichte / Tanne / Lärche, kammergetr., gehobelt (KBOB.2016v1)","07.011 Massivholz Fichte / Tanne / Lärche, kammergetr., gehobelt (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,465.000,kg,502.000,475.000,27.000,6.700,6.700,0.001,0.810,0.780,0.034,0.143,0.133,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.011.01 Massivholz Fichte / Tanne / Lärche, kammergetr., gehobelt, Produktion Schweiz (KBOB.2016v1)","07.011.01 Massivholz Fichte / Tanne / Lärche, kammergetr., gehobelt, Produktion Schweiz (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,465.000,kg,484.000,457.000,27.000,6.500,6.500,0.001,0.800,0.700,0.034,0.120,0.111,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.011.02 Massivholz Fichte / Tanne, kammergetr., Vollholzhaus holzpur (KBOB.2016v1)","07.011.02 Massivholz Fichte / Tanne, kammergetr., Vollholzhaus holzpur (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,420.000,kg,531.000,504.000,27.000,10.000,10.000,0.001,0.500,0.400,0.034,0.110,0.096,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.012 Mitteldichte Faserplatte (MDF), UF-gebunden (KBOB.2016v1)","07.012 Mitteldichte Faserplatte (MDF), UF-gebunden (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,685.000,kg,1170.000,1080.000,91.100,5.900,5.900,0.001,4.900,4.800,0.061,1.040,0.910,0.126,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.013 OSB Platte, PF-gebunden, Feuchtbereich (KBOB.2016v1)","07.013 OSB Platte, PF-gebunden, Feuchtbereich (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,605.000,kg,883.000,792.000,91.400,8.200,8.200,0.001,2.800,2.700,0.061,0.614,0.487,0.127,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.014 Spanplatte, UF-gebunden, Trockenbereich (KBOB.2016v1)","07.014 Spanplatte, UF-gebunden, Trockenbereich (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,640.000,kg,746.000,654.000,91.400,4.400,4.400,0.001,3.000,2.900,0.061,0.646,0.519,0.127,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.015 Spanplatte, PF-gebunden, Feuchtbereich (KBOB.2016v1)","07.015 Spanplatte, PF-gebunden, Feuchtbereich (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,640.000,kg,746.000,654.000,91.400,4.400,4.400,0.001,2.970,2.910,0.061,0.646,0.519,0.127,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.016 Spanplatte, UF-gebunden, beschichtet, Trockenbereich (KBOB.2016v1)","07.016 Spanplatte, UF-gebunden, beschichtet, Trockenbereich (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,640.000,kg,967.000,876.000,91.400,4.700,4.700,0.001,4.200,4.100,0.061,0.845,0.718,0.127,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.017 Sperrholz/Multiplex, UF-gebunden, Trockenbereich (KBOB.2016v1)","07.017 Sperrholz/Multiplex, UF-gebunden, Trockenbereich (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,500.000,kg,1860.000,1780.000,79.700,10.200,10.200,0.001,5.900,5.900,0.053,1.170,1.060,0.111,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"07.018 Sperrholz/Multiplex, PF-gebunden, Feuchtbereich (KBOB.2016v1)","07.018 Sperrholz/Multiplex, PF-gebunden, Feuchtbereich (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,500.000,kg,2180.000,2100.000,79.700,10.300,10.200,0.001,7.300,7.200,0.053,1.460,1.350,0.111,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
08.001 2-Komponenten Klebstoff (KBOB.2016v1),08.001 2-Komponenten Klebstoff (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1500.000,kg,6450.000,5700.000,754.000,0.400,0.400,0.005,24.600,24.300,0.348,5.950,4.610,1.340,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
08.002 Heissbitumen (KBOB.2016v1),08.002 Heissbitumen (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1000.000,kg,2640.000,1460.000,1180.000,0.100,0.000,0.008,15.500,15.300,0.217,3.060,0.692,2.370,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
08.003 Kautschukdichtungsmasse (KBOB.2016v1),08.003 Kautschukdichtungsmasse (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1500.000,kg,7470.000,5880.000,1590.000,0.300,0.300,0.006,24.100,24.000,0.163,5.210,2.050,3.160,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
08.004 Polysulfiddichtungsmasse (KBOB.2016v1),08.004 Polysulfiddichtungsmasse (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1600.000,kg,3520.000,1930.000,1590.000,0.400,0.400,0.006,7.800,7.600,0.163,4.670,1.510,3.160,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
08.005 Silicon-Fugenmasse (KBOB.2016v1),08.005 Silicon-Fugenmasse (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1000.000,kg,4550.000,2960.000,1590.000,2.200,2.200,0.006,15.000,14.800,0.163,5.870,2.710,3.160,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
09.001 Dampfbremse bituminös (KBOB.2016v1),09.001 Dampfbremse bituminös (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1100.000,kg,3100.000,1920.000,1180.000,0.700,0.700,0.008,13.900,13.600,0.217,3.540,1.170,2.370,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
09.002 Dampfbremse Polyethylen (PE) (KBOB.2016v1),09.002 Dampfbremse Polyethylen (PE) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,920.000,kg,3600.000,2240.000,1360.000,0.900,0.900,0.002,24.800,24.700,0.133,5.330,2.760,2.580,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
09.003 Dichtungsbahn bituminös (KBOB.2016v1),09.003 Dichtungsbahn bituminös (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1100.000,kg,2610.000,1430.000,1180.000,0.300,0.200,0.008,12.500,12.300,0.217,3.250,0.880,2.370,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
09.004 Dichtungsbahn Gummi (EPDM) (KBOB.2016v1),09.004 Dichtungsbahn Gummi (EPDM) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1100.000,kg,4930.000,3340.000,1590.000,0.700,0.700,0.006,24.800,24.600,0.163,5.860,2.700,3.160,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
09.005 Dichtungsbahn Polyolefin (FPO) (KBOB.2016v1),09.005 Dichtungsbahn Polyolefin (FPO) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1000.000,kg,4430.000,2940.000,1480.000,0.400,0.400,0.002,23.100,22.900,0.132,5.550,2.520,3.030,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
09.006 Kraftpapier (KBOB.2016v1),09.006 Kraftpapier (KBOB.2016v1),KBOB 2016 v1,MATERIAL,650.000,kg,3040.000,2950.000,86.200,14.500,14.500,0.002,8.100,8.000,0.102,1.690,1.650,0.041,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"09.003.01 Bituminöse Dichtungsbahn, swissporBIKUTOP EP4 (KBOB.2016v1)","09.003.01 Bituminöse Dichtungsbahn, swissporBIKUTOP EP4 (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,1175.000,kg,2290.000,1110.000,1180.000,0.200,0.200,0.008,10.800,10.500,0.217,3.070,0.701,2.370,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"09.003.02 Bituminöse Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EP4 (KBOB.2016v1)","09.003.02 Bituminöse Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EP4 (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,1175.000,kg,1850.000,672.000,1180.000,0.200,0.200,0.008,6.100,5.900,0.217,2.840,0.466,2.370,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"09.003.03 Bituminöse Dichtungsbahn, swissporBIKUTOP EGV3 (KBOB.2016v1)","09.003.03 Bituminöse Dichtungsbahn, swissporBIKUTOP EGV3 (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,1200.000,kg,2280.000,1100.000,1180.000,0.200,0.200,0.008,9.700,9.500,0.217,2.980,0.607,2.370,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"09.003.04 Bituminöse Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EGV3 (KBOB.2016v1)","09.003.04 Bituminöse Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EGV3 (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,1200.000,kg,1860.000,681.000,1180.000,0.200,0.200,0.008,5.200,5.000,0.217,2.760,0.391,2.370,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"09.003.05 Bituminöse Dichtungsbahn, swissporBIKUTOP EGV3.5 (KBOB.2016v1)","09.003.05 Bituminöse Dichtungsbahn, swissporBIKUTOP EGV3.5 (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,1200.000,kg,2350.000,1170.000,1180.000,0.200,0.200,0.008,10.500,10.300,0.217,3.030,0.655,2.370,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"09.003.06 Bituminöse Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EGV3.5 (KBOB.2016v1)","09.003.06 Bituminöse Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EGV3.5 (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,1200.000,kg,1890.000,714.000,1180.000,0.200,0.200,0.008,5.700,5.400,0.217,2.800,0.424,2.370,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"09.003.07 Bituminöse Dichtungsbahn, swissporBIKUTOP EP5 (KBOB.2016v1)","09.003.07 Bituminöse Dichtungsbahn, swissporBIKUTOP EP5 (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,1180.000,kg,2300.000,1120.000,1180.000,0.200,0.200,0.008,10.700,10.500,0.217,3.060,0.685,2.370,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"09.003.08 Bituminöse Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EP5 (KBOB.2016v1)","09.003.08 Bituminöse Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EP5 (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,1180.000,kg,1860.000,676.000,1180.000,0.200,0.200,0.008,6.000,5.700,0.217,2.820,0.447,2.370,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"09.003.09 Bituminöse Dichtungsbahn, swissporBIKUTOP LL Vario (KBOB.2016v1)","09.003.09 Bituminöse Dichtungsbahn, swissporBIKUTOP LL Vario (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,1171.000,kg,2470.000,1290.000,1180.000,0.200,0.200,0.008,11.800,11.600,0.217,3.100,0.730,2.370,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"09.003.10 Bituminöse Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO LL Vario (KBOB.2016v1)","09.003.10 Bituminöse Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO LL Vario (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,1171.000,kg,2120.000,939.000,1180.000,0.200,0.200,0.008,8.000,7.800,0.217,2.920,0.550,2.370,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
09.007 Polyethylenfolie (PE) (KBOB.2016v1),09.007 Polyethylenfolie (PE) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,920.000,kg,3600.000,2240.000,1360.000,0.900,0.900,0.002,24.800,24.700,0.133,5.330,2.760,2.580,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
09.008 Polyethylenvlies (PE) (KBOB.2016v1),09.008 Polyethylenvlies (PE) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,920.000,kg,3650.000,2290.000,1360.000,0.600,0.600,0.002,25.900,25.800,0.133,5.530,2.950,2.580,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
10.001 Glaswolle (KBOB.2016v1),10.001 Glaswolle (KBOB.2016v1),KBOB 2016 v1,MATERIAL,60.000,kg,1690.000,1660.000,29.800,2.200,2.200,0.001,7.800,7.700,0.068,1.130,1.120,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"10.001.01 Glaswolle, Isover (KBOB.2016v1)","10.001.01 Glaswolle, Isover (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,60.000,kg,1290.000,1260.000,29.800,2.600,2.600,0.001,4.500,4.500,0.068,0.800,0.790,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
10.002 Korkplatte (KBOB.2016v1),10.002 Korkplatte (KBOB.2016v1),KBOB 2016 v1,MATERIAL,120.000,kg,1690.000,1530.000,159.000,7.700,7.700,0.002,6.700,6.500,0.106,1.340,1.120,0.221,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
